ident,express,id,time,cumtime,e,i,button,filename,evaluation,stopRT,choiceRT,maskNum,maskList,#
0,0,3,2015-11-17 13:03:05,74.14008,0.0,0.0,hap,img/f_hap_cut.png,HIT,9885.0,11229.0,10.0,14-47-38-34-31-12-10-8-26-9,3.0
0,0,15,2015-11-17 13:06:35,283.59213,0.0,0.0,hap,img/f_hap_cut.png,HIT,8300.0,9715.0,9.0,27-17-47-38-16-1-42-13-40,15.0
0,0,31,2015-11-17 13:10:42,531.0753,0.0,0.0,ntr,img/f_hap_cut.png,ERR,16083.0,18250.0,17.0,40-17-15-47-43-46-27-6-25-1-22-14-7-42-4-24-0,31.0
0,0,51,2015-11-17 13:16:18,866.77572,0.0,0.0,hap,img/f_hap_cut.png,HIT,6653.0,8013.0,7.0,25-43-21-14-34-38-15,51.0
0,0,59,2015-11-17 13:18:12,980.76054,0.0,0.0,hap,img/f_hap_cut.png,HIT,12134.0,14414.0,13.0,46-39-35-42-29-17-9-32-16-7-3-27-47,59.0
0,0,76,2015-11-17 13:22:25,1233.96233,0.0,0.0,hap,img/f_hap_cut.png,HIT,9998.0,10822.0,10.0,31-40-38-36-42-43-46-21-12-23,76.0
0,0,90,2015-11-17 13:26:20,1468.49153,0.0,0.0,hap,img/f_hap_cut.png,HIT,2381.0,4437.0,3.0,30-28-14,90.0
0,0,107,2015-11-17 13:30:49,1738.03699,0.0,0.0,hap,img/f_hap_cut.png,HIT,7616.0,8575.0,8.0,4-45-23-7-5-10-16-12,107.0
0,0,124,2015-11-17 13:35:35,180.90683,0.0,0.0,hap,img/f_hap_cut.png,HIT,13536.0,15184.0,14.0,16-25-0-4-47-12-42-9-18-30-45-17-5-11,124.0
0,0,131,2015-11-17 13:37:12,277.75004,0.0,0.0,hap,img/f_hap_cut.png,HIT,1349.0,2901.0,2.0,37-25,131.0
0,0,145,2015-11-17 13:40:47,492.82698,0.0,0.0,hap,img/f_hap_cut.png,HIT,11758.0,12838.0,12.0,3-33-7-0-11-28-43-32-22-23-21-1,145.0
0,0,155,2015-11-17 13:43:37,662.52872,0.0,0.0,hap,img/f_hap_cut.png,HIT,17067.0,18467.0,18.0,42-7-38-46-14-15-33-3-19-2-16-10-4-22-27-11-25-31,155.0
0,0,181,2015-11-17 13:49:22,1007.26082,0.0,0.0,hap,img/f_hap_cut.png,HIT,6334.0,7605.0,7.0,44-43-9-10-30-0-29,181.0
0,0,186,2015-11-17 13:50:21,1066.94833,0.0,0.0,hap,img/f_hap_cut.png,HIT,12853.0,13733.0,13.0,5-19-8-31-9-46-33-40-39-47-43-17-42,186.0
0,0,203,2015-11-17 13:54:26,1311.83735,0.0,0.0,hap,img/f_hap_cut.png,HIT,7605.0,8453.0,8.0,0-46-43-45-28-22-17-13,203.0
0,0,220,2015-11-17 13:58:04,1529.1027,0.0,0.0,hap,img/f_hap_cut.png,HIT,5202.0,6682.0,6.0,45-20-31-39-37-3,220.0
0,1,9,2015-11-17 13:04:39,167.96737,1.0,0.0,sup,img/f_sad_cut.png,ERR,20505.0,22657.0,21.0,13-26-6-23-17-40-0-47-42-27-1-2-4-31-8-16-10-14-3-36-11,9.0
0,1,19,2015-11-17 13:07:23,332.35738,1.0,0.0,ang,img/f_sad_cut.png,ERR,8804.0,11716.0,9.0,20-25-30-34-18-8-24-36-26,19.0
0,1,36,2015-11-17 13:12:21,629.46527,1.0,0.0,ang,img/f_sad_cut.png,ERR,21705.0,23233.0,22.0,20-39-13-34-31-47-24-19-14-36-27-23-5-1-12-35-16-2-37-9-30-26,36.0
0,1,53,2015-11-17 13:16:35,884.08858,1.0,0.0,sad,img/f_sad_cut.png,HIT,22761.0,23937.0,23.0,19-1-44-47-25-32-3-13-18-20-24-31-12-40-42-35-45-36-43-22-14-4-29,53.0
0,1,68,2015-11-17 13:20:21,1109.82121,1.0,0.0,ang,img/f_sad_cut.png,ERR,5377.0,6409.0,6.0,1-13-18-22-9-43,68.0
0,1,75,2015-11-17 13:22:02,1210.53986,1.0,0.0,sad,img/f_sad_cut.png,HIT,21636.0,23188.0,22.0,27-36-46-22-29-14-33-42-20-43-21-3-38-41-44-28-19-23-26-16-25-17,75.0
0,1,91,2015-11-17 13:26:24,1473.163,1.0,0.0,fea,img/f_sad_cut.png,ERR,20021.0,22205.0,21.0,35-19-6-34-20-33-13-11-44-47-41-1-37-29-28-32-25-21-31-43-3,91.0
0,1,109,2015-11-17 13:31:17,1766.36462,1.0,0.0,sad,img/f_sad_cut.png,HIT,17688.0,18776.0,18.0,42-7-43-1-18-12-15-25-35-40-20-41-31-38-4-5-33-17,109.0
0,1,120,2015-11-17 13:34:34,119.03225,1.0,0.0,ntr,img/f_sad_cut.png,ERR,11428.0,12683.0,12.0,6-7-35-38-43-45-5-34-17-4-46-37,120.0
0,1,139,2015-11-17 13:39:12,397.90512,1.0,0.0,sad,img/f_sad_cut.png,HIT,16612.0,17460.0,17.0,16-8-43-19-35-10-36-23-21-47-1-5-18-41-26-42-11,139.0
