ident,express,id,time,cumtime,e,i,button,filename,evaluation,stopRT,choiceRT,maskNum,maskList,#
0,0,11,2015-10-23 16:15:53,173.39704,0.0,0.0,hap,img/f_hap_cut.png,HIT,6902.0,8142.0,7.0,14-29-10-6-42-12-28,11.0
0,0,20,2015-10-23 16:18:04,304.22965,0.0,0.0,hap,img/f_hap_cut.png,HIT,6951.0,7984.0,7.0,45-37-43-16-25-40-28,20.0
0,0,38,2015-10-23 16:22:31,571.40775,0.0,0.0,hap,img/f_hap_cut.png,HIT,9087.0,10775.0,10.0,17-24-10-44-23-40-47-29-26-42,38.0
0,0,55,2015-10-23 16:26:05,784.67424,0.0,0.0,hap,img/f_hap_cut.png,HIT,6629.0,7781.0,7.0,17-42-10-8-13-6-47,55.0
0,0,64,2015-10-23 16:27:46,886.25909,0.0,0.0,hap,img/f_hap_cut.png,HIT,15839.0,16735.0,16.0,39-42-32-38-20-45-16-9-47-17-33-41-22-40-4-29,64.0
0,0,81,2015-10-23 16:31:33,1113.32343,0.0,0.0,hap,img/f_hap_cut.png,HIT,9671.0,10951.0,10.0,28-4-41-17-39-9-14-26-29-19,81.0
0,0,96,2015-10-23 16:35:34,1354.35192,0.0,0.0,hap,img/f_hap_cut.png,HIT,4805.0,5669.0,5.0,32-21-40-41-26,96.0
0,0,101,2015-10-23 16:36:21,1400.69503,0.0,0.0,hap,img/f_hap_cut.png,HIT,1542.0,2742.0,2.0,13-29,101.0
0,0,116,2015-10-23 16:39:59,78.41477,0.0,0.0,hap,img/f_hap_cut.png,HIT,8516.0,9636.0,9.0,23-6-2-44-46-14-30-34-10,116.0
0,0,127,2015-10-23 16:41:52,191.72867,0.0,0.0,hap,img/f_hap_cut.png,HIT,10005.0,11293.0,10.0,47-11-44-24-32-5-45-31-17-37,127.0
0,0,143,2015-10-23 16:44:28,347.3763,0.0,0.0,hap,img/f_hap_cut.png,HIT,7621.0,8501.0,8.0,45-1-24-43-14-20-34-37,143.0
0,0,164,2015-10-23 16:48:21,580.53058,0.0,0.0,hap,img/f_hap_cut.png,HIT,4202.0,5834.0,5.0,24-7-29-26-42,164.0
0,0,176,2015-10-23 16:50:34,714.06422,0.0,0.0,hap,img/f_hap_cut.png,HIT,3639.0,4495.0,4.0,38-28-31-13,176.0
0,0,185,2015-10-23 16:52:16,815.59298,0.0,0.0,hap,img/f_hap_cut.png,HIT,7882.0,8786.0,8.0,12-17-31-32-9-35-37-5,185.0
0,0,201,2015-10-23 16:54:43,962.92413,0.0,0.0,hap,img/f_hap_cut.png,HIT,10445.0,11614.0,11.0,35-25-44-17-23-36-24-12-39-20-42,201.0
0,0,214,2015-10-23 16:56:44,1083.51908,0.0,0.0,hap,img/f_hap_cut.png,HIT,2195.0,3499.0,3.0,14-21-19,214.0
0,1,2,2015-10-23 16:13:42,42.59968,1.0,0.0,fea,img/f_sad_cut.png,ERR,13509.0,15158.0,14.0,21-38-1-45-7-28-4-18-34-41-37-35-33-8,2.0
0,1,21,2015-10-23 16:18:13,312.70122,1.0,0.0,fea,img/f_sad_cut.png,ERR,19366.0,20958.0,20.0,8-20-44-7-0-47-31-11-42-4-22-19-40-32-3-45-15-16-33-43,21.0
0,1,33,2015-10-23 16:21:08,487.71812,1.0,0.0,sad,img/f_sad_cut.png,HIT,15332.0,17069.0,16.0,5-9-46-30-0-38-11-33-22-40-35-39-13-12-25-21,33.0
0,1,44,2015-10-23 16:23:47,647.48239,1.0,0.0,sad,img/f_sad_cut.png,HIT,8313.0,9529.0,9.0,18-15-4-43-35-26-2-30-25,44.0
0,1,56,2015-10-23 16:26:13,792.93153,1.0,0.0,ntr,img/f_sad_cut.png,ERR,9003.0,9739.0,9.0,10-47-0-24-35-45-37-39-40,56.0
0,1,77,2015-10-23 16:30:44,1064.29085,1.0,0.0,fea,img/f_sad_cut.png,ERR,11339.0,12708.0,12.0,39-32-3-7-18-46-1-34-35-45-29-12,77.0
0,1,86,2015-10-23 16:33:03,1203.23965,1.0,0.0,fea,img/f_sad_cut.png,ERR,12122.0,13722.0,13.0,44-2-9-37-28-23-12-46-14-27-4-26-38,86.0
0,1,111,2015-10-23 16:38:19,1518.91232,1.0,0.0,fea,img/f_sad_cut.png,ERR,3361.0,5505.0,4.0,6-34-23-44,111.0
0,1,124,2015-10-23 16:41:27,166.74714,1.0,0.0,fea,img/f_sad_cut.png,ERR,7591.0,9049.0,8.0,17-25-16-23-27-29-3-31,124.0
0,1,136,2015-10-23 16:43:24,283.56946,1.0,0.0,fea,img/f_sad_cut.png,ERR,7611.0,8908.0,8.0,41-23-7-36-29-17-9-34,136.0
0,1,153,2015-10-23 16:46:19,458.48715,1.0,0.0,fea,img/f_sad_cut.png,ERR,6541.0,7965.0,7.0,16-8-11-39-26-19-2,153.0
0,1,166,2015-10-23 16:48:42,601.9085,1.0,0.0,sad,img/f_sad_cut.png,HIT,7352.0,8824.0,8.0,31-19-37-33-35-9-38-0,166.0
0,1,181,2015-10-23 16:51:32,772.26096,1.0,0.0,fea,img/f_sad_cut.png,ERR,11872.0,12817.0,12.0,37-3-35-20-42-39-15-19-2-8-25-28,181.0
0,1,192,2015-10-23 16:53:16,876.20707,1.0,0.0,fea,img/f_sad_cut.png,ERR,5137.0,6849.0,6.0,17-46-39-26-27-9,192.0
0,1,203,2015-10-23 16:55:06,986.14867,1.0,0.0,sad,img/f_sad_cut.png,HIT,5943.0,7111.0,6.0,9-13-8-45-39-25,203.0
0,1,221,2015-10-23 16:57:54,1153.66062,1.0,0.0,fea,img/f_sad_cut.png,ERR,5296.0,6928.0,6.0,3-15-5-29-34-39,221.0
0,2,5,2015-10-23 16:14:35,95.25763,2.0,0.0,hap,img/f_ang_cut.png,ERR,8241.0,10369.0,9.0,32-12-47-25-2-46-21-3-39,5.0
0,2,19,2015-10-23 16:17:53,293.42278,2.0,0.0,ang,img/f_ang_cut.png,HIT,8707.0,10307.0,9.0,9-45-7-25-11-35-44-34-20,19.0
0,2,28,2015-10-23 16:19:56,416.65164,2.0,0.0,ang,img/f_ang_cut.png,HIT,5447.0,7240.0,6.0,11-28-15-19-29-12,28.0
0,2,45,2015-10-23 16:23:57,657.50847,2.0,0.0,hap,img/f_ang_cut.png,ERR,7614.0,10004.0,8.0,2-25-44-27-45-21-15-39,45.0
0,2,57,2015-10-23 16:26:23,803.15959,2.0,0.0,ang,img/f_ang_cut.png,HIT,7154.0,8658.0,8.0,24-26-37-14-7-9-42-21,57.0
0,2,76,2015-10-23 16:30:35,1055.26337,2.0,0.0,ang,img/f_ang_cut.png,HIT,7375.0,8527.0,8.0,12-7-2-47-41-44-27-25,76.0
0,2,93,2015-10-23 16:34:43,1303.1736,2.0,0.0,ang,img/f_ang_cut.png,HIT,24410.0,25779.0,25.0,46-41-9-25-33-31-21-19-23-47-44-36-43-0-35-14-42-4-7-12-2-16-34-26-30,93.0
0,2,102,2015-10-23 16:36:24,1403.94711,2.0,0.0,ang,img/f_ang_cut.png,HIT,8736.0,10624.0,9.0,30-12-32-27-2-9-47-36-44,102.0
0,2,125,2015-10-23 16:41:36,176.30862,2.0,0.0,ang,img/f_ang_cut.png,HIT,5449.0,6625.0,6.0,7-14-20-31-27-1,125.0
0,2,135,2015-10-23 16:43:21,280.48768,2.0,0.0,ang,img/f_ang_cut.png,HIT,1753.0,2578.0,2.0,29-1,135.0
