ident,express,id,time,cumtime,e,i,button,filename,evaluation,stopRT,choiceRT,maskNum,maskList,#
0,0,0,2016-03-01 13:50:46,0.0,0.0,0.0,hap,img/f_hap_cut.png,HIT,8856.0,10848.0,9.0,42-31-18-17-11-22-1-38-45,0.0
0,0,22,2016-03-01 13:57:21,395.07205,0.0,0.0,hap,img/f_hap_cut.png,HIT,16788.0,18034.0,17.0,42-18-3-46-32-26-23-13-20-9-14-47-27-10-45-0-31,22.0
0,0,38,2016-03-01 14:03:50,784.40802,0.0,0.0,hap,img/f_hap_cut.png,HIT,4829.0,6261.0,5.0,1-31-12-28-37,38.0
0,0,50,2016-03-01 14:07:08,982.64978,0.0,0.0,hap,img/f_hap_cut.png,HIT,5659.0,6891.0,6.0,46-22-40-1-34-13,50.0
0,0,68,2016-03-01 14:12:20,1294.1068,0.0,0.0,hap,img/f_hap_cut.png,HIT,3261.0,5486.0,4.0,37-14-0-20,68.0
0,0,77,2016-03-01 14:15:16,1469.87876,0.0,0.0,hap,img/f_hap_cut.png,HIT,10375.0,11799.0,11.0,23-31-22-38-14-7-34-41-2-35-13,77.0
0,0,84,2016-03-01 14:17:40,1614.37618,0.0,0.0,hap,img/f_hap_cut.png,HIT,8293.0,10158.0,9.0,46-9-19-24-41-28-25-34-31,84.0
0,0,102,2016-03-01 14:22:45,1919.02753,0.0,0.0,hap,img/f_hap_cut.png,HIT,3101.0,4797.0,4.0,21-35-37-29,102.0
0,0,112,2016-03-01 14:26:05,0.0,0.0,0.0,hap,img/f_hap_cut.png,HIT,14017.0,15817.0,15.0,3-44-17-12-25-38-15-19-42-41-27-6-13-32-36,112.0
0,0,129,2016-03-01 14:29:02,177.07783,0.0,0.0,hap,img/f_hap_cut.png,HIT,6896.0,7848.0,7.0,18-15-2-43-8-26-11,129.0
0,0,141,2016-03-01 14:30:37,272.4493,0.0,0.0,hap,img/f_hap_cut.png,HIT,3758.0,4446.0,4.0,25-8-5-22,141.0
0,0,159,2016-03-01 14:32:42,397.04686,0.0,0.0,ang,img/f_hap_cut.png,ERR,3717.0,5101.0,4.0,43-9-33-5,159.0
0,0,169,2016-03-01 14:33:41,456.1011,0.0,0.0,hap,img/f_hap_cut.png,HIT,2131.0,3628.0,3.0,4-29-5,169.0
0,0,193,2016-03-01 14:36:13,608.65257,0.0,0.0,hap,img/f_hap_cut.png,HIT,1396.0,2876.0,2.0,28-39,193.0
0,0,206,2016-03-01 14:37:38,693.33269,0.0,0.0,hap,img/f_hap_cut.png,HIT,3810.0,4778.0,4.0,15-41-37-35,206.0
0,0,221,2016-03-01 14:38:47,762.14768,0.0,0.0,hap,img/f_hap_cut.png,HIT,3016.0,4520.0,4.0,40-16-29-15,221.0
0,1,5,2016-03-01 13:51:41,55.18606,1.0,0.0,fea,img/f_sad_cut.png,ERR,6895.0,8343.0,7.0,25-40-6-20-34-22-10,5.0
0,1,26,2016-03-01 13:58:50,483.85035,1.0,0.0,fea,img/f_sad_cut.png,ERR,20070.0,22678.0,21.0,14-5-36-23-15-13-42-47-32-44-38-1-39-22-30-46-33-27-26-10-41,26.0
0,1,30,2016-03-01 14:00:10,563.77863,1.0,0.0,dis,img/f_sad_cut.png,ERR,16814.0,20166.0,17.0,14-25-35-21-28-16-44-9-10-30-47-3-34-45-24-43-2,30.0
0,1,49,2016-03-01 14:06:54,968.08465,1.0,0.0,fea,img/f_sad_cut.png,ERR,12691.0,14267.0,13.0,14-26-13-41-35-33-32-40-0-10-47-24-27,49.0
