ident,express,id,time,cumtime,e,i,button,filename,evaluation,stopRT,choiceRT,maskNum,maskList,#
0,0,10,2015-10-30 13:04:25,191.62997,0.0,0.0,hap,img/f_hap_cut.png,HIT,8426.0,10050.0,9.0,21-12-43-45-16-46-14-8-5,10.0
0,0,17,2015-10-30 13:06:00,286.11778,0.0,0.0,hap,img/f_hap_cut.png,HIT,15500.0,16956.0,16.0,46-39-40-41-10-34-19-38-4-0-7-20-11-33-27-18,17.0
0,0,32,2015-10-30 13:09:53,519.10721,0.0,0.0,hap,img/f_hap_cut.png,HIT,3721.0,4873.0,4.0,13-37-24-32,32.0
0,0,47,2015-10-30 13:13:00,705.9599,0.0,0.0,hap,img/f_hap_cut.png,HIT,6941.0,8005.0,7.0,24-40-46-34-20-25-29,47.0
0,0,56,2015-10-30 13:14:42,808.44183,0.0,0.0,hap,img/f_hap_cut.png,HIT,8205.0,9613.0,9.0,43-24-3-40-44-19-12-37-20,56.0
0,0,77,2015-10-30 13:19:12,1078.78882,0.0,0.0,hap,img/f_hap_cut.png,HIT,2229.0,3565.0,3.0,37-13-21,77.0
0,0,89,2015-10-30 13:21:35,1221.6803,0.0,0.0,hap,img/f_hap_cut.png,HIT,13040.0,15080.0,14.0,44-42-1-14-39-22-0-9-36-27-45-33-10-11,89.0
0,0,111,2015-10-30 13:26:12,1498.80727,0.0,0.0,hap,img/f_hap_cut.png,HIT,9757.0,11013.0,10.0,31-25-0-45-44-40-12-42-26-13,111.0
0,0,123,2015-10-30 13:29:09,140.85812,0.0,0.0,hap,img/f_hap_cut.png,HIT,11808.0,13064.0,12.0,28-8-47-32-42-27-12-19-20-18-33-11,123.0
0,0,127,2015-10-30 13:30:01,193.10121,0.0,0.0,hap,img/f_hap_cut.png,HIT,6151.0,7807.0,7.0,8-14-31-41-25-29-20,127.0
0,0,143,2015-10-30 13:33:05,376.72895,0.0,0.0,hap,img/f_hap_cut.png,HIT,2989.0,3877.0,3.0,3-34-45,143.0
0,0,164,2015-10-30 13:36:55,607.00082,0.0,0.0,hap,img/f_hap_cut.png,HIT,9683.0,10963.0,10.0,25-32-27-26-31-28-16-9-30-33,164.0
0,0,170,2015-10-30 13:38:15,686.31472,0.0,0.0,hap,img/f_hap_cut.png,HIT,3253.0,4957.0,4.0,30-18-20-5,170.0
0,0,192,2015-10-30 13:42:40,951.61772,0.0,0.0,hap,img/f_hap_cut.png,HIT,8021.0,9877.0,9.0,12-3-6-46-35-0-22-21-2,192.0
0,0,199,2015-10-30 13:44:25,1056.94984,0.0,0.0,hap,img/f_hap_cut.png,HIT,9122.0,11162.0,10.0,22-33-11-40-5-36-17-26-15-12,199.0
0,0,223,2015-10-30 13:50:17,1408.29035,0.0,0.0,hap,img/f_hap_cut.png,HIT,18698.0,20010.0,19.0,15-18-24-9-0-41-1-47-31-39-19-20-8-40-28-16-4-17-29,223.0
0,1,9,2015-10-30 13:04:05,171.27111,1.0,0.0,sad,img/f_sad_cut.png,HIT,9679.0,20055.0,10.0,4-38-28-32-10-29-30-37-25-47,9.0
0,1,22,2015-10-30 13:07:01,347.78955,1.0,0.0,fea,img/f_sad_cut.png,ERR,7845.0,12221.0,8.0,26-28-2-20-38-22-27-34,22.0
0,1,33,2015-10-30 13:09:58,524.28017,1.0,0.0,sad,img/f_sad_cut.png,HIT,7114.0,9130.0,8.0,47-36-44-35-28-10-12-23,33.0
0,1,54,2015-10-30 13:14:15,781.16056,1.0,0.0,sad,img/f_sad_cut.png,HIT,12951.0,15583.0,13.0,8-17-44-20-23-16-22-33-42-12-24-10-15,54.0
0,1,61,2015-10-30 13:15:50,876.15864,1.0,0.0,sad,img/f_sad_cut.png,HIT,14032.0,16160.0,15.0,7-26-43-38-27-5-18-47-35-44-0-19-21-6-25,61.0
0,1,75,2015-10-30 13:18:58,1064.30958,1.0,0.0,ntr,img/f_sad_cut.png,ERR,1660.0,2876.0,2.0,34-42,75.0
0,1,85,2015-10-30 13:20:53,1179.05977,1.0,0.0,sad,img/f_sad_cut.png,HIT,10275.0,12091.0,11.0,28-18-41-46-5-31-11-13-12-34-44,85.0
0,1,100,2015-10-30 13:23:53,1359.40598,1.0,0.0,sad,img/f_sad_cut.png,HIT,5167.0,6863.0,6.0,25-3-38-12-34-32,100.0
0,1,117,2015-10-30 13:27:43,54.19273,1.0,0.0,ntr,img/f_sad_cut.png,ERR,20591.0,21951.0,21.0,33-26-13-12-46-9-20-45-2-39-28-7-19-32-43-37-44-8-16-11-35,117.0
0,1,129,2015-10-30 13:30:31,222.97713,1.0,0.0,ang,img/f_sad_cut.png,ERR,13809.0,15409.0,14.0,44-32-45-21-11-35-17-36-28-9-19-40-2-22,129.0
0,1,153,2015-10-30 13:34:41,472.53764,1.0,0.0,sad,img/f_sad_cut.png,HIT,5617.0,6889.0,6.0,22-16-18-6-9-7,153.0
0,1,167,2015-10-30 13:37:28,639.65769,1.0,0.0,sad,img/f_sad_cut.png,HIT,12191.0,14551.0,13.0,43-9-36-28-35-25-7-5-18-38-44-10-42,167.0
0,1,171,2015-10-30 13:38:20,691.57027,1.0,0.0,sad,img/f_sad_cut.png,HIT,4433.0,8777.0,5.0,24-21-10-14-22,171.0
0,1,195,2015-10-30 13:43:26,997.32985,1.0,0.0,sad,img/f_sad_cut.png,HIT,10089.0,13985.0,11.0,5-2-30-46-41-44-7-43-33-10-9,195.0
0,1,205,2015-10-30 13:45:57,1148.77549,1.0,0.0,sad,img/f_sad_cut.png,HIT,12148.0,14124.0,13.0,3-14-13-12-35-41-25-2-17-15-10-39-47,205.0
0,1,219,2015-10-30 13:49:11,1342.76234,1.0,0.0,ntr,img/f_sad_cut.png,ERR,13207.0,14903.0,14.0,35-37-44-38-24-43-39-23-11-7-0-33-3-20,219.0
0,2,7,2015-10-30 13:03:29,135.50741,2.0,0.0,ang,img/f_ang_cut.png,HIT,6370.0,7882.0,7.0,24-36-23-1-10-14-41,7.0
0,2,18,2015-10-30 13:06:17,303.37057,2.0,0.0,ang,img/f_ang_cut.png,HIT,14623.0,16063.0,15.0,24-37-42-12-8-20-18-28-15-6-2-0-26-4-32,18.0
0,2,37,2015-10-30 13:11:02,588.67744,2.0,0.0,ang,img/f_ang_cut.png,HIT,4180.0,8980.0,5.0,16-19-26-13-40,37.0
