ident,express,id,time,cumtime,e,i,button,filename,evaluation,stopRT,choiceRT,maskNum,maskList,#
0,0,12,2015-11-11 11:57:20,142.23094,0.0,0.0,hap,img/f_hap_cut.png,HIT,9984.0,11240.0,10.0,44-6-25-31-47-3-11-19-45-21,12.0
0,0,22,2015-11-11 12:00:03,304.7225,0.0,0.0,hap,img/f_hap_cut.png,HIT,9727.0,10775.0,10.0,41-40-10-33-45-32-3-5-35-21,22.0
0,0,39,2015-11-11 12:03:28,510.31089,0.0,0.0,hap,img/f_hap_cut.png,HIT,3096.0,4960.0,4.0,11-36-13-10,39.0
0,0,49,2015-11-11 12:05:59,660.95645,0.0,0.0,hap,img/f_hap_cut.png,HIT,9726.0,10967.0,10.0,20-35-23-11-17-40-33-41-43-37,49.0
0,0,58,2015-11-11 12:07:56,778.32811,0.0,0.0,hap,img/f_hap_cut.png,HIT,8550.0,10262.0,9.0,46-10-6-1-11-7-12-47-21,58.0
0,0,83,2015-11-11 12:13:08,1090.01976,0.0,0.0,hap,img/f_hap_cut.png,HIT,4014.0,5134.0,4.0,23-20-15-21,83.0
0,0,90,2015-11-11 12:14:28,1169.82742,0.0,0.0,hap,img/f_hap_cut.png,HIT,1948.0,2924.0,2.0,39-21,90.0
0,0,109,2015-11-11 12:18:37,1418.91935,0.0,0.0,hap,img/f_hap_cut.png,HIT,9378.0,10723.0,10.0,5-33-9-42-45-22-41-32-34-46,109.0
0,0,119,2015-11-11 12:20:18,46.19646,0.0,0.0,hap,img/f_hap_cut.png,HIT,1730.0,2765.0,2.0,14-3,119.0
0,0,134,2015-11-11 12:21:59,146.38642,0.0,0.0,hap,img/f_hap_cut.png,HIT,4759.0,5592.0,5.0,31-15-0-20-37,134.0
0,0,146,2015-11-11 12:23:09,217.0777,0.0,0.0,hap,img/f_hap_cut.png,HIT,8902.0,10111.0,9.0,43-44-26-23-40-22-9-18-6,146.0
0,0,162,2015-11-11 12:25:20,347.58386,0.0,0.0,hap,img/f_hap_cut.png,HIT,6601.0,7849.0,7.0,18-16-23-12-44-27-37,162.0
0,0,177,2015-11-11 12:27:09,456.55431,0.0,0.0,hap,img/f_hap_cut.png,HIT,2565.0,3630.0,3.0,6-35-45,177.0
