,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m
,ang,ang,ang,ang,ang,ang,ang,dis,dis,dis,dis,dis,dis,dis,fea,fea,fea,fea,fea,fea,fea,hap,hap,hap,hap,hap,hap,hap,ntr,ntr,ntr,ntr,ntr,ntr,ntr,sad,sad,sad,sad,sad,sad,sad,sup,sup,sup,sup,sup,sup,sup,ang,ang,ang,ang,ang,ang,ang,dis,dis,dis,dis,dis,dis,dis,fea,fea,fea,fea,fea,fea,fea,hap,hap,hap,hap,hap,hap,hap,ntr,ntr,ntr,ntr,ntr,ntr,ntr,sad,sad,sad,sad,sad,sad,sad,sup,sup,sup,sup,sup,sup,sup
,ang,dis,fea,hap,ntr,sad,sup,ang,dis,fea,hap,ntr,sad,sup,ang,dis,fea,hap,ntr,sad,sup,ang,dis,fea,hap,ntr,sad,sup,ang,dis,fea,hap,ntr,sad,sup,ang,dis,fea,hap,ntr,sad,sup,ang,dis,fea,hap,ntr,sad,sup,ang,dis,fea,hap,ntr,sad,sup,ang,dis,fea,hap,ntr,sad,sup,ang,dis,fea,hap,ntr,sad,sup,ang,dis,fea,hap,ntr,sad,sup,ang,dis,fea,hap,ntr,sad,sup,ang,dis,fea,hap,ntr,sad,sup,ang,dis,fea,hap,ntr,sad,sup
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p008,16.3888888889,4.16666666667,,,,,,19.7916666667,15.625,,,,,,,35.4166666667,,,43.75,,25.946969697,,,,14.9739583333,,,,,,,12.5,32.1428571429,,20.8333333333,19.7916666667,29.1666666667,18.75,,29.1666666667,18.75,31.7708333333,,18.75,,,,,23.3333333333,27.2727272727,31.25,,4.16666666667,,30.2083333333,,15.2777777778,19.9404761905,,,,,,,32.6388888889,29.1666666667,,22.9166666667,,14.880952381,,,,21.7447916667,,,,,,,,24.8106060606,,37.9166666667,,26.25,23.6111111111,,30.2083333333,27.0833333333,22.9166666667,,,,,,,18.4895833333
p009,17.6388888889,47.9166666667,,,,,,20.8333333333,17.2222222222,,,,,,,,27.3611111111,,,,29.1666666667,,,,18.6111111111,,31.25,,,,,,28.6458333333,,,22.9166666667,,29.1666666667,,10.4166666667,33.59375,,,,,,,,21.7447916667,21.7447916667,,,,,,,4.16666666667,16.6666666667,,,,,,,,31.5705128205,,,8.33333333333,27.0833333333,,,,20.0520833333,,,,,,,,31.5476190476,33.3333333333,,18.75,,38.5416666667,,,36.1979166667,26.3888888889,,,17.3611111111,,,,21.6346153846
p011,14.7222222222,,,16.6666666667,,,,13.3333333333,21.2121212121,,,,,,,,27.3148148148,,,8.33333333333,27.0833333333,,,,16.6666666667,,,,,,,,29.0277777778,,45.8333333333,26.0416666667,24.3055555556,30.9523809524,,18.75,28.4722222222,,,,22.3958333333,,,,26.2152777778,10.4166666667,32.5,29.8611111111,,16.6666666667,,,4.86111111111,15.9722222222,6.25,,,,,,,15.1785714286,,18.75,,18.4895833333,,,16.6666666667,17.0833333333,,,,,,22.9166666667,,21.875,,25.0,,31.9444444444,23.4375,,,,22.9166666667,,,17.7083333333,,,,15.1785714286
p012,25.8333333333,,,20.8333333333,,,,,22.65625,,,,,,,,48.5119047619,,31.25,,31.25,,,,20.8333333333,,,,,,39.5833333333,,46.7948717949,,70.8333333333,41.6666666667,,47.9166666667,,,39.5833333333,,,,52.0833333333,,,,50.3205128205,31.25,47.9166666667,,,,61.1111111111,,,18.6197916667,,,,,,,,45.4166666667,,,58.3333333333,55.2083333333,,,,20.9635416667,,,,,,55.7291666667,,48.125,37.5,,,,47.1726190476,,52.0833333333,,39.5833333333,,8.33333333333,38.0208333333,,,,37.9166666667
p013,18.005952381,18.75,4.16666666667,,,,,10.9375,25.5208333333,,,,,,21.875,,27.34375,,,,18.0555555556,,,,14.84375,,,,,,2.08333333333,,33.75,,,9.375,,23.9583333333,,,31.25,,,,,6.25,,,25.9722222222,22.4358974359,18.0555555556,,,,,,,13.4114583333,,,,,,,,20.2083333333,,,28.125,9.375,,,18.75,15.1785714286,,,10.4166666667,,,25.0,,27.4305555556,31.25,,16.6666666667,,27.0833333333,,,37.5,25.0,,,8.33333333333,,,,15.0
p014,15.2777777778,4.16666666667,,,,,,18.4027777778,18.125,,,,,,,,28.125,,,,35.9375,,,,21.7447916667,,,,,,,,32.2916666667,,,22.2222222222,60.4166666667,28.4722222222,,,27.7777777778,,,,22.9166666667,,,,24.1666666667,30.3819444444,4.16666666667,,,,41.6666666667,,4.16666666667,17.7777777778,,,,,,,,26.0416666667,,,16.6666666667,24.3055555556,,,,16.9270833333,,,,,,,,34.3055555556,41.6666666667,,,39.5833333333,29.6875,,,41.369047619,,,,12.5,,,,25.8333333333
p015,22.9166666667,,,,,,,25.5208333333,16.6666666667,,,,8.33333333333,,,,35.8974358974,,,56.25,33.3333333333,,,,15.625,,,,,,,,27.5,,54.1666666667,,,34.5833333333,,18.75,42.5,,,,34.375,,,,42.0138888889,27.9166666667,37.5,50.0,,,45.8333333333,,19.7916666667,15.9722222222,12.5,,,,10.4166666667,,,34.1666666667,,,,50.0,,,14.5833333333,15.3273809524,22.9166666667,,,,,,,36.6071428571,13.5416666667,,25.0,,51.6666666667,,,36.25,,,70.8333333333,,,,,27.6388888889
p016,17.6388888889,31.25,,,,,,17.3611111111,19.0705128205,,,,,,,,28.869047619,,,,22.4537037037,,,,10.6770833333,,,,,,,,21.2239583333,,,,,29.4642857143,,12.5,28.90625,,,,39.5833333333,,,,19.0277777778,27.6785714286,52.0833333333,,,33.3333333333,,,,16.2760416667,,,,,,,,32.8125,,,,22.3958333333,,,,15.8854166667,,,,,,,,20.9722222222,22.9166666667,,,25.0,27.7777777778,,,33.8541666667,20.8333333333,,,,,,,22.65625
p017,24.7023809524,35.4166666667,,6.25,,,,33.3333333333,18.6111111111,,,,,,,18.75,37.8787878788,,22.9166666667,,61.4583333333,,,,19.0104166667,,,,45.8333333333,,47.9166666667,,35.7142857143,,,22.9166666667,40.625,41.6666666667,,,36.1111111111,,,,,,,,27.734375,33.7239583333,,,,,,,,15.625,,,,,,,14.5833333333,33.9743589744,,8.33333333333,,35.4166666667,,,,18.0989583333,,,,,,,,29.4270833333,,,22.9166666667,43.75,34.0277777778,,51.0416666667,35.4166666667,32.2916666667,,,,,,,28.90625
p018,26.3020833333,,,,,,,21.5277777778,20.625,,,,,,,45.3125,59.0277777778,,,31.25,39.5833333333,,,,18.75,,,,,,60.4166666667,,44.1287878788,59.375,,30.4166666667,,64.5833333333,,,43.4027777778,,,,25.0,,,,30.6944444444,37.9166666667,51.0416666667,39.5833333333,,,55.2083333333,,24.3055555556,18.9236111111,25.0,,,,,,,45.0320512821,,,,47.2222222222,,,,25.2604166667,,,,,,41.6666666667,,38.8888888889,32.8125,,,35.4166666667,47.619047619,,20.8333333333,43.0555555556,35.4166666667,,32.8125,33.3333333333,,,,36.9318181818
p019,17.4679487179,11.8055555556,,,,,,13.8888888889,21.4583333333,,,,,,,,22.3958333333,,,27.7777777778,28.9351851852,,,,16.9444444444,25.0,,,31.25,37.5,,,24.5833333333,,35.9375,,25.0,25.5208333333,,,22.619047619,,,,,,,,23.6979166667,28.2738095238,29.1666666667,,,,32.2916666667,,18.75,23.9583333333,,,,,8.33333333333,,,23.1944444444,,,,18.75,,,22.9166666667,14.3055555556,,,,,,31.5476190476,,29.1666666667,30.2083333333,,,22.9166666667,40.4166666667,,,27.7777777778,18.75,,,29.8611111111,,,,26.2820512821
p020,17.7083333333,10.4166666667,,17.7083333333,,,,13.1944444444,16.8269230769,,,,,,,,29.6875,20.8333333333,,22.9166666667,26.25,,,,15.8854166667,,,,,,,,28.6458333333,,,,,20.8333333333,,18.75,20.3125,,,,25.0,,,,24.255952381,20.1923076923,29.8611111111,,,,,,17.7083333333,24.1071428571,,,,,,31.25,,26.0416666667,,31.25,,21.6666666667,,,,13.4114583333,,,,,35.4166666667,19.7916666667,,27.7777777778,58.3333333333,,,31.25,28.9772727273,,,31.25,15.625,,8.33333333333,6.25,,,,19.1964285714
p021,11.4583333333,,,,,,,12.5,17.0454545455,,,,,,30.2083333333,,27.7777777778,6.25,41.6666666667,,21.6145833333,,,,15.3645833333,,,,35.4166666667,,,,25.6944444444,,45.8333333333,20.8333333333,,20.8333333333,,19.4444444444,28.869047619,,,,10.4166666667,25.0,,,20.3869047619,19.696969697,,27.0833333333,,,22.9166666667,,10.4166666667,17.3611111111,,,,,,,,24.3055555556,,,45.8333333333,21.5277777778,,,,12.6388888889,,10.4166666667,,,,39.5833333333,,22.5694444444,22.2222222222,,,,25.6944444444,29.1666666667,,17.8240740741,,,27.0833333333,17.8571428571,,,,22.65625
