,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m
,ang,ang,ang,ang,ang,ang,ang,dis,dis,dis,dis,dis,dis,dis,fea,fea,fea,fea,fea,fea,fea,hap,hap,hap,hap,hap,hap,hap,ntr,ntr,ntr,ntr,ntr,ntr,ntr,sad,sad,sad,sad,sad,sad,sad,sup,sup,sup,sup,sup,sup,sup,ang,ang,ang,ang,ang,ang,ang,dis,dis,dis,dis,dis,dis,dis,fea,fea,fea,fea,fea,fea,fea,hap,hap,hap,hap,hap,hap,hap,ntr,ntr,ntr,ntr,ntr,ntr,ntr,sad,sad,sad,sad,sad,sad,sad,sup,sup,sup,sup,sup,sup,sup
,ang,dis,fea,hap,ntr,sad,sup,ang,dis,fea,hap,ntr,sad,sup,ang,dis,fea,hap,ntr,sad,sup,ang,dis,fea,hap,ntr,sad,sup,ang,dis,fea,hap,ntr,sad,sup,ang,dis,fea,hap,ntr,sad,sup,ang,dis,fea,hap,ntr,sad,sup,ang,dis,fea,hap,ntr,sad,sup,ang,dis,fea,hap,ntr,sad,sup,ang,dis,fea,hap,ntr,sad,sup,ang,dis,fea,hap,ntr,sad,sup,ang,dis,fea,hap,ntr,sad,sup,ang,dis,fea,hap,ntr,sad,sup,ang,dis,fea,hap,ntr,sad,sup
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p008,93.75,6.25,0.0,0.0,0.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,6.25,0.0,0.0,25.0,0.0,68.75,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,6.25,87.5,0.0,6.25,25.0,25.0,6.25,0.0,12.5,6.25,25.0,0.0,6.25,0.0,0.0,0.0,0.0,93.75,68.75,12.5,0.0,6.25,0.0,12.5,0.0,56.25,43.75,0.0,0.0,0.0,0.0,0.0,0.0,18.75,25.0,0.0,12.5,0.0,43.75,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.75,0.0,31.25,0.0,31.25,18.75,0.0,12.5,6.25,31.25,0.0,0.0,0.0,0.0,0.0,0.0,100.0
p009,93.75,6.25,0.0,0.0,0.0,0.0,0.0,6.25,93.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.75,0.0,0.0,0.0,6.25,0.0,0.0,0.0,93.75,0.0,6.25,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,12.5,0.0,25.0,0.0,12.5,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,6.25,93.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.25,0.0,0.0,6.25,12.5,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.5,12.5,0.0,6.25,0.0,25.0,0.0,0.0,50.0,18.75,0.0,0.0,18.75,0.0,0.0,0.0,81.25
p011,93.75,0.0,0.0,6.25,0.0,0.0,0.0,31.25,68.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.25,0.0,0.0,6.25,37.5,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.75,0.0,6.25,12.5,18.75,43.75,0.0,6.25,18.75,0.0,0.0,0.0,25.0,0.0,0.0,0.0,75.0,31.25,31.25,18.75,0.0,18.75,0.0,0.0,18.75,75.0,6.25,0.0,0.0,0.0,0.0,0.0,0.0,43.75,0.0,6.25,0.0,50.0,0.0,0.0,6.25,93.75,0.0,0.0,0.0,0.0,0.0,12.5,0.0,75.0,0.0,12.5,0.0,18.75,75.0,0.0,0.0,0.0,6.25,0.0,0.0,12.5,0.0,0.0,0.0,87.5
p012,93.75,0.0,0.0,6.25,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.5,0.0,6.25,0.0,6.25,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,81.25,0.0,6.25,18.75,0.0,25.0,0.0,0.0,56.25,0.0,0.0,0.0,18.75,0.0,0.0,0.0,81.25,62.5,18.75,0.0,0.0,0.0,18.75,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.5,0.0,0.0,12.5,25.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,62.5,12.5,0.0,0.0,0.0,87.5,0.0,6.25,0.0,6.25,0.0,12.5,25.0,0.0,0.0,0.0,62.5
p013,87.5,6.25,6.25,0.0,0.0,0.0,0.0,25.0,75.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,50.0,0.0,0.0,0.0,37.5,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,6.25,0.0,93.75,0.0,0.0,12.5,0.0,50.0,0.0,0.0,37.5,0.0,0.0,0.0,0.0,6.25,0.0,0.0,93.75,81.25,18.75,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.5,0.0,0.0,12.5,25.0,0.0,0.0,6.25,87.5,0.0,0.0,6.25,0.0,0.0,12.5,0.0,75.0,12.5,0.0,12.5,0.0,56.25,0.0,0.0,18.75,12.5,0.0,0.0,6.25,0.0,0.0,0.0,93.75
p014,93.75,6.25,0.0,0.0,0.0,0.0,0.0,37.5,62.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,37.5,6.25,18.75,0.0,0.0,37.5,0.0,0.0,0.0,6.25,0.0,0.0,0.0,93.75,75.0,6.25,0.0,0.0,0.0,18.75,0.0,6.25,93.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,6.25,18.75,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.75,6.25,0.0,0.0,6.25,50.0,0.0,0.0,43.75,0.0,0.0,0.0,6.25,0.0,0.0,0.0,93.75
p015,100.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,68.75,0.0,0.0,0.0,6.25,0.0,0.0,0.0,81.25,0.0,0.0,6.25,12.5,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.75,0.0,6.25,0.0,0.0,31.25,0.0,6.25,62.5,0.0,0.0,0.0,25.0,0.0,0.0,0.0,75.0,62.5,6.25,12.5,0.0,0.0,18.75,0.0,12.5,75.0,6.25,0.0,0.0,0.0,6.25,0.0,0.0,93.75,0.0,0.0,0.0,6.25,0.0,0.0,6.25,87.5,6.25,0.0,0.0,0.0,0.0,0.0,0.0,87.5,12.5,0.0,6.25,0.0,31.25,0.0,0.0,62.5,0.0,0.0,6.25,0.0,0.0,0.0,0.0,93.75
p016,93.75,6.25,0.0,0.0,0.0,0.0,0.0,18.75,81.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.75,0.0,0.0,0.0,56.25,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,43.75,0.0,6.25,50.0,0.0,0.0,0.0,6.25,0.0,0.0,0.0,93.75,87.5,6.25,0.0,0.0,6.25,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.75,6.25,0.0,0.0,6.25,56.25,0.0,0.0,25.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,100.0
p017,87.5,6.25,0.0,6.25,0.0,0.0,0.0,6.25,93.75,0.0,0.0,0.0,0.0,0.0,0.0,6.25,68.75,0.0,12.5,0.0,12.5,0.0,0.0,0.0,100.0,0.0,0.0,0.0,6.25,0.0,6.25,0.0,87.5,0.0,0.0,25.0,12.5,43.75,0.0,0.0,18.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,6.25,81.25,0.0,6.25,0.0,6.25,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,6.25,6.25,56.25,0.0,12.5,6.25,12.5,0.0,0.0,0.0,0.0,0.0,0.0,100.0
p018,100.0,0.0,0.0,0.0,0.0,0.0,0.0,37.5,62.5,0.0,0.0,0.0,0.0,0.0,0.0,25.0,37.5,0.0,0.0,6.25,31.25,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,6.25,0.0,68.75,25.0,0.0,31.25,0.0,31.25,0.0,0.0,37.5,0.0,0.0,0.0,6.25,0.0,0.0,0.0,93.75,31.25,12.5,6.25,0.0,0.0,50.0,0.0,18.75,75.0,6.25,0.0,0.0,0.0,0.0,0.0,0.0,81.25,0.0,0.0,0.0,18.75,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,18.75,0.0,56.25,25.0,0.0,0.0,6.25,43.75,0.0,6.25,37.5,6.25,0.0,25.0,6.25,0.0,0.0,0.0,68.75
p019,81.25,18.75,0.0,0.0,0.0,0.0,0.0,37.5,62.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,18.75,56.25,0.0,0.0,0.0,93.75,6.25,0.0,0.0,6.25,6.25,0.0,0.0,62.5,0.0,25.0,0.0,6.25,50.0,0.0,0.0,43.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,43.75,43.75,0.0,0.0,0.0,12.5,0.0,6.25,87.5,0.0,0.0,0.0,0.0,6.25,0.0,0.0,93.75,0.0,0.0,0.0,6.25,0.0,0.0,6.25,93.75,0.0,0.0,0.0,0.0,0.0,43.75,0.0,43.75,12.5,0.0,0.0,12.5,62.5,0.0,0.0,18.75,6.25,0.0,0.0,18.75,0.0,0.0,0.0,81.25
p020,75.0,12.5,0.0,12.5,0.0,0.0,0.0,18.75,81.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,12.5,0.0,6.25,31.25,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,68.75,0.0,6.25,25.0,0.0,0.0,0.0,12.5,0.0,0.0,0.0,87.5,81.25,18.75,0.0,0.0,0.0,0.0,0.0,12.5,87.5,0.0,0.0,0.0,0.0,0.0,6.25,0.0,50.0,0.0,12.5,0.0,31.25,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,6.25,12.5,0.0,75.0,6.25,0.0,0.0,6.25,68.75,0.0,0.0,12.5,12.5,0.0,6.25,6.25,0.0,0.0,0.0,87.5
p021,100.0,0.0,0.0,0.0,0.0,0.0,0.0,31.25,68.75,0.0,0.0,0.0,0.0,0.0,12.5,0.0,18.75,6.25,12.5,0.0,50.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,18.75,0.0,0.0,0.0,75.0,0.0,6.25,31.25,0.0,6.25,0.0,18.75,43.75,0.0,0.0,0.0,6.25,6.25,0.0,0.0,87.5,68.75,0.0,6.25,0.0,0.0,25.0,0.0,6.25,93.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,6.25,18.75,0.0,0.0,0.0,93.75,0.0,6.25,0.0,0.0,0.0,6.25,0.0,75.0,18.75,0.0,0.0,0.0,37.5,6.25,0.0,56.25,0.0,0.0,6.25,43.75,0.0,0.0,0.0,50.0
p022,87.5,12.5,0.0,0.0,0.0,0.0,0.0,18.75,68.75,0.0,6.25,0.0,0.0,6.25,6.25,6.25,0.0,0.0,6.25,0.0,81.25,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,6.25,87.5,6.25,0.0,6.25,12.5,43.75,6.25,0.0,31.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,75.0,0.0,0.0,0.0,0.0,25.0,0.0,12.5,75.0,0.0,0.0,0.0,0.0,12.5,6.25,6.25,6.25,0.0,6.25,0.0,75.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,18.75,0.0,50.0,18.75,12.5,12.5,0.0,31.25,0.0,0.0,31.25,25.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
