,ang,ang,ang,ang,ang,fea,fea,fea,fea,fea,ntr,ntr,ntr,ntr,ntr,sad,sad,sad,sad,sad,sup,sup,sup,sup,sup,hap,hap,hap,hap,hap,dis,dis,dis,dis,dis
,nan,AU2,AU1,AU25+26+27,AU5,nan,AU2,AU1,AU25+26+27,AU5,nan,AU2,AU1,AU25+26+27,AU5,nan,AU2,AU1,AU25+26+27,AU5,nan,AU2,AU1,AU25+26+27,AU5,nan,AU2,AU1,AU25+26+27,AU5,nan,AU2,AU1,AU25+26+27,AU5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21.1851851852,-7.40740740741,-18.5185185185,33.3333333333,48.1481481481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p020,0.0,0.0,0.0,0.0,0.0,-17.0909090909,254.545454545,118.181818182,-29.8701298701,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-20.0,-42.2222222222,-15.5555555556,28.8888888889,89.6296296296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p021,0.0,0.0,0.0,0.0,0.0,-23.2,140.0,-100.0,-31.4285714286,220.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.60934891486,-27.8797996661,-13.856427379,11.0422132125,52.2537562604,12.0,200.0,0.0,-42.8571428571,-100.0,0.0,0.0,0.0,0.0,0.0
p022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.8,-3.19744231092e-14,-28.8888888889,2.85714285714,-37.7777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p023,0.0,0.0,0.0,0.0,0.0,-42.4,20.0,-100.0,37.1428571429,220.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.942675159236,37.5796178344,7.00636942675,-1.728844404,22.2929936306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.8,44.5454545455,47.2727272727,-1.81818181818,12.7272727273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.76082474227,-43.0927835052,-23.2989690722,7.45213549337,88.0412371134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p026,0.0,0.0,0.0,0.0,0.0,-1.09090909091,9.09090909091,-63.6363636364,14.2857142857,-3.0303030303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.0016207455,1.13452188006,1.13452188006,20.5834683955,8.91410048622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p027,0.0,0.0,0.0,0.0,0.0,9.71428571429,-14.2857142857,71.4285714286,-51.0204081633,14.2857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.97613365155,-45.584725537,-14.0811455847,3.92090010228,-65.6324582339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p028,0.0,0.0,0.0,0.0,0.0,15.6363636364,-59.0909090909,-59.0909090909,-40.2597402597,166.666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,50.8571428571,33.7142857143,-13.7959183673,5.14285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
