,ang,ang,ang,ang,fea,fea,fea,fea,ntr,ntr,ntr,ntr,sad,sad,sad,sad,sup,sup,sup,sup,hap,hap,hap,hap,dis,dis,dis,dis
,nan,AU12,AU25,AU6,nan,AU12,AU25,AU6,nan,AU12,AU25,AU6,nan,AU12,AU25,AU6,nan,AU12,AU25,AU6,nan,AU12,AU25,AU6,nan,AU12,AU25,AU6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0608244046227,20.4884667571,37.7011048653,-27.0556309362,0.0,0.0,0.0,0.0
p026,30.0492610837,-14.2857142857,-51.0204081633,-65.7142857143,0.0,0.0,0.0,0.0,-2.6369168357,-64.7058823529,-79.8319327731,69.4117647059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.98704583308,-16.2790697674,59.4684385382,-5.54561717352,65.5172413793,-100.0,-100.0,-100.0
p027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.44677661169,-13.9835487662,20.8662078227,11.116333725,0.0,0.0,0.0,0.0
p028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.88467476939,-6.31458094145,46.4326718058,-11.2743972445,0.0,0.0,0.0,0.0
p029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.71786833856,62.0320855615,48.5103132162,-20.4278074866,0.0,0.0,0.0,0.0
p030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.7095627444,25.2577319588,17.5257731959,12.5773195876,0.0,0.0,0.0,0.0
p031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-44.8275862069,-100.0,-23.8095238095,166.666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.76463013307,80.9128630705,56.4908120925,-28.2987551867,0.0,0.0,0.0,0.0
p032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.6115450562,4.41988950276,67.6400947119,-11.1602209945,0.0,0.0,0.0,0.0
p033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.9655172414,-100.0,-31.4285714286,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.41123882503,31.8518518519,26.1375661376,-7.55555555556,0.0,0.0,0.0,0.0
p034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.84431748623,-3.43195266272,21.7244294167,-3.43195266272,0.0,0.0,0.0,0.0
p035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.2962259028,113.543307087,30.6636670416,-13.0708661417,0.0,0.0,0.0,0.0
p036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.3538532747,73.9597315436,46.347075743,-8.51006711409,0.0,0.0,0.0,0.0
p037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.22217633698,-28.1437125749,44.5337895637,1.17365269461,0.0,0.0,0.0,0.0
p038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.5172413793,-100.0,-100.0,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14.5400593472,58.4569732938,77.0241627808,-26.646884273,0.0,0.0,0.0,0.0
p039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.8226600985,58.9285714286,42.8571428571,-6.42857142857,0.0,0.0,0.0,0.0
p040,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13.5680201675,-9.13838120104,78.1424841477,-6.00522193211,0.0,0.0,0.0,0.0
p041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-17.2413793103,20.0,-100.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.97044334975,-12.7551020408,35.5685131195,-15.5102040816,0.0,0.0,0.0,0.0
p042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.4218256928,9.81697171381,49.4651770858,9.41763727121,0.0,0.0,0.0,0.0
p043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-17.2413793103,500.0,242.857142857,-100.0,0.0,0.0,0.0,0.0,-7.81318201659,-27.0886075949,41.4828209765,3.89873417722,0.0,0.0,0.0,0.0
p044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-17.4884199691,48.6567164179,39.1897654584,-0.417910447761,0.0,0.0,0.0,0.0
p045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.29704601624,32.4232081911,-32.1306679668,17.95221843,0.0,0.0,0.0,0.0
p046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.477176555325,42.5587467363,14.5841104066,-16.6579634465,0.0,0.0,0.0,0.0
p047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.4231974922,-100.0,-100.0,-12.7272727273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.65755053508,39.0344827586,6.87684729064,1.29655172414,0.0,0.0,0.0,0.0
p048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.49453322119,-14.9825783972,36.9835739174,7.59581881533,0.0,0.0,0.0,0.0
p049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13.4518412876,27.6218611521,42.8149398607,25.4948301329,0.0,0.0,0.0,0.0
p050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.35144945308,51.920341394,-9.28673033936,9.24608819346,0.0,0.0,0.0,0.0
p051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.161048508,29.5932678822,17.3311961531,9.73352033661,0.0,0.0,0.0,0.0
p052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.5172413793,-100.0,-100.0,-100.0,0.0,0.0,0.0,0.0,3.15155329767,25.1629726206,18.0108027566,-19.2698826597,0.0,0.0,0.0,0.0
p053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.79025363351,12.3966942149,22.7863046045,1.15702479339,0.0,0.0,0.0,0.0
p054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13.6214698081,-5.88235294118,73.7556561086,-8.05429864253,0.0,0.0,0.0,0.0
p055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.9958658273,79.8365122616,75.6325418451,-20.8719346049,0.0,0.0,0.0,0.0
p056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.492610837438,-57.1428571429,-2.04081632653,2.85714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.4816218264,106.593406593,6.75039246468,2.85714285714,0.0,0.0,0.0,0.0
p057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5047879617,90.4240766074,32.2649990229,-21.2038303694,0.0,0.0,0.0,0.0
p058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.0893997446,69.5473251029,106.937095826,-38.7654320988,0.0,0.0,0.0,0.0
p059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.44827586207,-100.0,-100.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.09380745258,-25.0975292588,68.5305591678,-13.2379713914,0.0,0.0,0.0,0.0
p060,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.41871921182,-100.0,-100.0,105.714285714,15.8620689655,-100.0,-100.0,44.0,0.0,0.0,0.0,0.0,3.2386845651,78.8712011577,10.1509199917,-37.481910275,0.0,0.0,0.0,0.0
p061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.7159811834,-17.3967459324,45.896656535,0.926157697121,0.0,0.0,0.0,0.0
p062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.509076937854,11.9777158774,27.9745324314,-19.7771587744,0.0,0.0,0.0,0.0
p063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.8719211823,-100.0,-100.0,-31.4285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.48795880244,52.8550512445,51.6000836645,-20.5856515373,0.0,0.0,0.0,0.0
p064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2842215256,-7.57575757576,7.35930735931,-4.24242424242,0.0,0.0,0.0,0.0
