,ang,ang,ang,ang,ang,fea,fea,fea,fea,fea,ntr,ntr,ntr,ntr,ntr,sad,sad,sad,sad,sad,sup,sup,sup,sup,sup,hap,hap,hap,hap,hap,dis,dis,dis,dis,dis
,nan,AU10+16+19+25+26,AU4,AU6,AU9,nan,AU10+16+19+25+26,AU4,AU6,AU9,nan,AU10+16+19+25+26,AU4,AU6,AU9,nan,AU10+16+19+25+26,AU4,AU6,AU9,nan,AU10+16+19+25+26,AU4,AU6,AU9,nan,AU10+16+19+25+26,AU4,AU6,AU9,nan,AU10+16+19+25+26,AU4,AU6,AU9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p018,12.2807017544,-4.44444444444,-3.49206349206,-5.18518518519,24.4444444444,5.26315789474,0.0,71.4285714286,-33.3333333333,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14.439405126,2.20440881764,7.18580017177,13.8276553106,25.0501002004
p019,40.350877193,-66.6666666667,52.380952381,33.3333333333,166.666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-36.8421052632,50.0,-100.0,0.0,-100.0,0.0,0.0,0.0,0.0,0.0,-12.3268698061,2.63157894737,10.5263157895,17.7631578947,38.1578947368
p020,-62.293794187,-14.9253731343,73.987206823,126.865671642,437.313432836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16.2967660114,27.1084337349,-21.5146299484,-12.4497991968,-80.7228915663
p021,1.05263157895,-100.0,311.428571429,60.0,380.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.458028925,6.23229461756,-21.3273978146,3.68271954674,-28.611898017
p022,1.05263157895,20.0,37.1428571429,-20.0,380.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.39234449761,15.9090909091,-22.0779220779,-54.5454545455,-100.0,0.0,0.0,0.0,0.0,0.0,-10.021629416,-3.42465753425,24.4618395303,23.2876712329,-1.3698630137
p023,0.0,0.0,0.0,0.0,0.0,26.3157894737,-25.0,-14.2857142857,-50.0,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.2803738318,24.0654205607,-35.914552737,-9.34579439252,0.934579439252
p024,24.8965109403,-35.9550561798,81.0593900482,-3.37078651685,156.179775281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-20.47681584,39.9232245681,-2.60488072388,-20.1535508637,-26.2955854127
p025,-29.8245614035,3.5527136788e-15,14.2857142857,40.7407407407,122.222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.6816768398,24.0700218818,11.0346983432,-25.601750547,-15.9737417943
p026,-42.5837320574,-31.8181818182,164.935064935,118.181818182,554.545454545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.05263157895,-70.0,174.285714286,60.0,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.66422385077,6.32911392405,-28.390596745,-1.26582278481,-1.26582278481
p027,19.5083517176,-46.1077844311,101.19760479,38.9221556886,101.19760479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.7423409269,-14.9253731343,-79.5309168443,-28.3582089552,-28.3582089552,-100.0,125.0,71.4285714286,0.0,-100.0,0.0,0.0,0.0,0.0,0.0,-17.6053340899,53.6388140162,-70.4274162495,-42.8571428571,-48.2479784367
