,ang,ang,ang,ang,ang,fea,fea,fea,fea,fea,ntr,ntr,ntr,ntr,ntr,sad,sad,sad,sad,sad,sup,sup,sup,sup,sup,hap,hap,hap,hap,hap,dis,dis,dis,dis,dis
,nan,AU9,AU7,AU6,AU22+23+25,nan,AU9,AU7,AU6,AU22+23+25,nan,AU9,AU7,AU6,AU22+23+25,nan,AU9,AU7,AU6,AU22+23+25,nan,AU9,AU7,AU6,AU22+23+25,nan,AU9,AU7,AU6,AU22+23+25,nan,AU9,AU7,AU6,AU22+23+25
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p019,-10.7307439105,34.5622119816,176.497695853,37.6344086022,-18.8940092166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42.1560035057,80.3680981595,-100.0,69.3251533742,43.5582822086
p020,-8.57142857143,-5.11627906977,-36.7441860465,1.08527131783,28.3720930233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.6861642295,8.66141732283,-100.0,-5.51181102362,-29.1338582677,1.5873015873,22.2222222222,166.666666667,-18.5185185185,22.2222222222
p021,-15.5137126484,47.8510028653,82.2349570201,37.5358166189,-2.00573065903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p022,-4.60448642267,71.9008264463,45.4545454545,39.9449035813,-43.8016528926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.3333333333,-33.3333333333,-100.0,-55.5555555556,-33.3333333333
p023,-19.8038013489,57.9399141631,81.974248927,27.6108726753,27.8969957082,0.0,0.0,0.0,0.0,0.0,-51.0204081633,71.4285714286,-100.0,14.2857142857,157.142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-34.0659340659,38.4615384615,84.6153846154,53.8461538462,38.4615384615
p024,-25.0979367981,14.0767824497,57.9524680073,30.1645338208,42.5959780622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p025,-6.79908326967,17.6470588235,122.459893048,4.09982174688,17.6470588235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p026,-7.02179176755,24.3807040417,97.1316818774,27.7705345502,-17.0795306389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.2857142857,0.0,-100.0,-33.3333333333,0.0,5.49450549451,-100.0,-100.0,-7.69230769231,-7.69230769231
p027,-14.7672552167,56.7415730337,82.0224719101,27.5280898876,10.393258427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.7619047619,-33.3333333333,-100.0,-11.1111111111,33.3333333333
p028,-11.15935736,-2.43161094225,2.12765957447,13.0699088146,19.452887538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.24369747899,23.5294117647,111.764705882,29.4117647059,-11.7647058824
