,ang,ang,ang,fea,fea,fea,ntr,ntr,ntr,sad,sad,sad,sup,sup,sup,hap,hap,hap,dis,dis,dis
,nan,AU15+25,AU1+4,nan,AU15+25,AU1+4,nan,AU15+25,AU1+4,nan,AU15+25,AU1+4,nan,AU15+25,AU1+4,nan,AU15+25,AU1+4,nan,AU15+25,AU1+4
,,,,,,,,,,,,,,,,,,,,,
p028,-5.14385353095,60.6177606178,-26.4864864865,4.32395332876,-56.2310030395,25.9574468085,7.19602977667,-100.0,47.6923076923,-3.89321468298,-23.8095238095,28.7356321839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p029,3.22580645161,128.571428571,-100.0,-10.7709130672,74.3341404358,-18.6440677966,-8.55981711963,-19.0101237345,39.842519685,0.0,0.0,0.0,5.61845759453,-18.2592242195,-4.6357615894,0.0,0.0,0.0,0.0,0.0,0.0
p030,8.33238344922,52.6501766784,-62.6855123675,26.7970535941,-100.0,-13.0708661417,-5.37634408602,52.380952381,-20.0,-21.9710439421,40.3824521935,39.842519685,0.0,0.0,0.0,0.0,0.0,0.0,23.8709677419,37.1428571429,-100.0
p031,-0.782962730974,93.0651872399,-62.7184466019,-5.4420093573,93.6750272628,-48.7022900763,7.66930143132,22.6111636708,-39.6026490066,-19.2761605035,21.2543554007,44.8780487805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p032,3.22580645161,-23.8095238095,6.66666666667,-0.460829493088,-51.0204081633,37.1428571429,18.0384782294,-63.1005765535,-11.7488789238,-8.24372759857,-27.4376417234,44.7619047619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p033,-18.9326127343,47.1952131638,25.6544502618,-10.9261186264,21.6589861751,18.7096774194,-10.4674127716,128.571428571,-57.5510204082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16.6253101737,110.989010989,-26.1538461538
p034,3.22580645161,-4.4776119403,-6.86567164179,-48.3870967742,128.571428571,60.0,0.0,0.0,0.0,-15.5425219941,24.6753246753,30.9090909091,0.0,0.0,0.0,8.38709677419,-31.4285714286,-4.0,0.0,0.0,0.0
p035,0.0,0.0,0.0,-14.9590506435,59.881569208,4.45595854922,0.0,0.0,0.0,-22.5806451613,-31.4285714286,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p036,10.599078341,-2.04081632653,-31.4285714286,-3.22580645161,-14.2857142857,20.0,-33.6405529954,-75.5102040816,157.142857143,-8.41333253831,9.00448904146,19.7781885397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p037,23.8709677419,-31.4285714286,-52.0,-16.6253101737,5.49450549451,47.6923076923,-10.7065109836,80.8939526731,-23.4355828221,-13.0800977007,3.84185005595,37.8590078329,0.0,0.0,0.0,0.0,0.0,0.0,-35.4838709677,14.2857142857,100.0
p038,-31.1827956989,128.571428571,6.66666666667,0.0,0.0,0.0,3.22580645161,-23.8095238095,6.66666666667,-10.593132154,-33.6405529954,56.3870967742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p039,5.74350904799,-27.5261324042,1.46341463415,-55.7603686636,193.87755102,37.1428571429,0.0,0.0,0.0,-10.3565365025,-36.8421052632,57.8947368421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p040,-22.5806451613,71.4285714286,20.0,-39.9605003292,179.883381924,-2.04081632653,13.2402503611,-7.88912579957,-35.5223880597,-6.12141224282,-40.607424072,47.4015748031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p041,0.0,0.0,0.0,8.93790641336,-24.1106719368,-10.8300395257,0.0,0.0,0.0,-9.78962131837,60.9937888199,-12.347826087,0.0,0.0,0.0,0.0,0.0,0.0,-7.09677419355,37.1428571429,-4.0
p042,-7.65643218033,90.017211704,-39.2771084337,8.38709677419,37.1428571429,-52.0,0.0,0.0,0.0,-3.96080032666,21.5189873418,-2.78481012658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p043,-22.5806451613,82.8571428571,12.0,0.0,0.0,0.0,0.0,0.0,0.0,-14.0963323023,-1.3698630137,44.6575342466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13.2222616094,46.9387755102,8.13186813187,0.0,0.0,0.0,0.0,0.0,0.0,4.74383301708,21.0084033613,-29.4117647059
p045,13.5483870968,37.1428571429,-68.0,-5.37634408602,-11.1111111111,24.4444444444,0.0,0.0,0.0,-17.3259378193,30.3167420814,32.4886877828,0.0,0.0,0.0,0.0,0.0,0.0,-11.5207373272,144.897959184,-65.7142857143
