,ang,ang,ang,ang,fea,fea,fea,fea,ntr,ntr,ntr,ntr,sad,sad,sad,sad,sup,sup,sup,sup,hap,hap,hap,hap,dis,dis,dis,dis
,nan,AU12,AU25,AU6,nan,AU12,AU25,AU6,nan,AU12,AU25,AU6,nan,AU12,AU25,AU6,nan,AU12,AU25,AU6,nan,AU12,AU25,AU6,nan,AU12,AU25,AU6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.8571428571,42.8571428571,68.8888888889,-6.28571428571,0.0,0.0,0.0,0.0
p025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.563002681,60.8579088472,24.3967828418,6.16621983914,0.0,0.0,0.0,0.0
p026,0.0,0.0,0.0,0.0,30.7826086957,-100.0,-100.0,-12.347826087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.34788937409,-14.4104803493,46.7248908297,-12.6637554585,0.0,0.0,0.0,0.0
p027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.51936218679,47.6082004556,61.2756264237,-2.68792710706,0.0,0.0,0.0,0.0
p028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.93203883495,112.621359223,86.4077669903,-44.0776699029,0.0,0.0,0.0,0.0
p029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.66666666667,48.3333333333,-11.1111111111,-18.6666666667,0.0,0.0,0.0,0.0
p030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.95483870968,3.74193548387,62.064516129,-1.52258064516,0.0,0.0,0.0,0.0
p031,0.0,0.0,0.0,0.0,-4.0,-100.0,60.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.03225806452,24.1935483871,-4.73695157173e-15,18.064516129,0.0,0.0,0.0,0.0
p032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15.2542372881,23.7288135593,37.8531073446,27.4576271186,0.0,0.0,0.0,0.0
p033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15.2599758162,-5.68319226119,31.5598548972,34.0749697703,0.0,0.0,0.0,0.0
p034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-20.0,-100.0,-100.0,140.0,0.0,0.0,0.0,0.0,-28.275862069,20.6896551724,125.287356322,4.8275862069,60.0,-100.0,-100.0,-100.0
p035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.1095461659,78.4037558685,37.7151799687,-15.117370892,0.0,0.0,0.0,0.0
p036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16.0824742268,22.1649484536,-10.3092783505,48.4536082474,0.0,0.0,0.0,0.0
p037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.8728606357,33.4963325183,49.6332518337,-11.9804400978,0.0,0.0,0.0,0.0
