,ang,ang,ang,ang,ang,fea,fea,fea,fea,fea,ntr,ntr,ntr,ntr,ntr,sad,sad,sad,sad,sad,sup,sup,sup,sup,sup,hap,hap,hap,hap,hap,dis,dis,dis,dis,dis
,nan,AU10+16+19+25+26,AU9,AU6,AU4,nan,AU10+16+19+25+26,AU9,AU6,AU4,nan,AU10+16+19+25+26,AU9,AU6,AU4,nan,AU10+16+19+25+26,AU9,AU6,AU4,nan,AU10+16+19+25+26,AU9,AU6,AU4,nan,AU10+16+19+25+26,AU9,AU6,AU4,nan,AU10+16+19+25+26,AU9,AU6,AU4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p018,-17.3086299366,-18.0887372014,141.638225256,74.247595408,57.6791808874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-47.4285714286,44.0,56.0,32.3636363636,-10.0
p019,-24.0875912409,5.10948905109,83.9416058394,56.0716655607,51.0948905109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.5014191107,12.0151371807,0.662251655629,-25.8278145695,-44.3708609272
p020,43.9621152328,-62.1152328335,-40.3314917127,13.3098945254,25.9668508287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.33268368739,10.3878386279,-45.9754433834,-7.72665261069,-6.68485675307
p021,-22.4191866528,-29.9270072993,79.5620437956,83.1453218315,105.839416058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.06653620352,36.9863013699,-34.2465753425,-32.2540473225,-49.3150684932
p022,-12.6050420168,-64.7058823529,129.411764706,124.598930481,164.705882353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-45.4783748362,43.119266055,59.6330275229,14.0950792327,-3.66972477064
p023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-31.0167310167,51.3513513514,-24.3243243243,-1.7199017199,-8.10810810811
p024,-2.04081632653,-34.693877551,128.571428571,66.2337662338,128.571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.1016138673,9.74297668858,-27.1966527197,4.98288322556,4.18410041841
p025,4.71498944405,-25.6861365236,100.985221675,39.7223466189,6.4039408867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-71.4285714286,114.285714286,50.0,9.09090909091,-25.0,-30.6791569087,33.4894613583,18.0327868852,26.9746646796,-1.6393442623
p026,-26.4828738513,-33.8345864662,82.4561403509,78.6283891547,124.561403509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15.4215814766,20.0524246396,28.4403669725,7.42285237698,-6.42201834862
p027,-40.3136922425,42.4332344214,35.3115727003,26.8950633936,51.3353115727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.8095238095,90.4761904762,33.3333333333,-51.5151515152,-33.3333333333,0.0,0.0,0.0,0.0,0.0,19.0082644628,20.8972845336,-96.694214876,-56.7242674681,-27.2727272727
