,ang,ang,fea,fea,ntr,ntr,sad,sad,sup,sup,hap,hap,dis,dis
,nan,AU25,nan,AU25,nan,AU25,nan,AU25,nan,AU25,nan,AU25,nan,AU25
,,,,,,,,,,,,,,
p043,0.0,0.0,0.0,0.0,-5.722763883,40.059347181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p044,0.0,0.0,0.0,0.0,-6.18336886994,43.2835820896,2.39172592114,-16.742081448,0.0,0.0,0.0,0.0,0.0,0.0
p045,0.0,0.0,0.0,0.0,-7.44466800805,52.1126760563,-4.41558441558,30.9090909091,0.0,0.0,0.0,0.0,0.0,0.0
p046,0.0,0.0,0.0,0.0,-11.5207373272,80.6451612903,6.02409638554,-42.1686746988,0.0,0.0,0.0,0.0,0.0,0.0
p047,0.0,0.0,-8.57142857143,60.0,-9.63455149502,67.4418604651,-18.3673469388,128.571428571,0.0,0.0,-8.57142857143,60.0,0.0,0.0
p048,0.0,0.0,-7.53246753247,52.7272727273,2.17792543374,-15.2454780362,-1.73564753004,12.1495327103,0.0,0.0,0.0,0.0,-8.57142857143,60.0
p049,0.0,0.0,-7.57763975155,53.0434782609,14.2857142857,-100.0,-7.92146242383,55.4502369668,14.2857142857,-100.0,0.0,0.0,0.0,0.0
p050,0.0,0.0,0.0,0.0,-12.5465838509,87.8260869565,14.2857142857,-100.0,0.0,0.0,0.0,0.0,0.0,0.0
p051,0.0,0.0,0.0,0.0,-7.08994708995,49.6296296296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p052,0.0,0.0,-3.2967032967,23.0769230769,6.44897959184,-45.1428571429,-5.77971646674,40.4580152672,14.2857142857,-100.0,0.0,0.0,0.0,0.0
p053,0.0,0.0,0.0,0.0,-11.1111111111,77.7777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p054,0.0,0.0,-8.57142857143,60.0,-2.32230823364,16.2561576355,-2.04081632653,14.2857142857,0.0,0.0,0.0,0.0,-4.7619047619,33.3333333333
p055,0.0,0.0,0.0,0.0,-2.58023914412,18.0616740088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p056,0.0,0.0,-10.1248266297,70.8737864078,-7.48299319728,52.380952381,7.30158730159,-51.1111111111,0.0,0.0,0.0,0.0,0.0,0.0
p057,0.0,0.0,0.0,0.0,-3.11252992817,21.7877094972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p058,0.0,0.0,9.09090909091,-63.6363636364,-9.97605746209,69.8324022346,-0.823244552058,5.76271186441,0.0,0.0,0.0,0.0,0.0,0.0
p059,0.0,0.0,-5.95918367347,41.7142857143,-1.46920912785,10.284463895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p060,0.0,0.0,0.0,0.0,-0.500577589526,3.50404312668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
