,ang,ang,ang,ang,ang,fea,fea,fea,fea,fea,ntr,ntr,ntr,ntr,ntr,sad,sad,sad,sad,sad,sup,sup,sup,sup,sup,hap,hap,hap,hap,hap,dis,dis,dis,dis,dis
,nan,AU1,AU2,AU5,AU25+26+27,nan,AU1,AU2,AU5,AU25+26+27,nan,AU1,AU2,AU5,AU25+26+27,nan,AU1,AU2,AU5,AU25+26+27,nan,AU1,AU2,AU5,AU25+26+27,nan,AU1,AU2,AU5,AU25+26+27,nan,AU1,AU2,AU5,AU25+26+27
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.61434003259,-72.6235741445,-30.0380228137,41.4448669202,22.8897338403,0.0,0.0,0.0,0.0,0.0,-23.8095238095,18.9189189189,87.3873873874,-13.5135135135,15.3153153153
p019,0.0,0.0,0.0,0.0,0.0,37.1428571429,20.0,-20.0,20.0,-68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.54414125201,45.6179775281,25.8426966292,5.16853932584,-10.8314606742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p020,0.0,0.0,0.0,0.0,0.0,-23.8095238095,-100.0,-100.0,300.0,6.66666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14.6036793096,20.1907790143,-19.8728139905,62.1621621622,8.36248012719,0.0,0.0,0.0,0.0,0.0,71.4285714286,-100.0,-100.0,-100.0,-20.0
p021,0.0,0.0,0.0,0.0,0.0,4.40917107584,-95.0617283951,-30.8641975309,181.481481481,-30.2057613169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14.4700460829,-61.2903225806,-12.2580645161,74.1935483871,16.6451612903,0.0,0.0,0.0,0.0,0.0,-12.0879120879,84.6153846154,-100.0,-100.0,47.6923076923
p022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.9612109745,5.29801324503,-40.3973509934,64.9006622517,11.2582781457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p023,0.0,0.0,0.0,0.0,0.0,-7.95781399808,28.8590604027,-8.72483221477,69.1275167785,-1.20805369128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.2346263009,-68.2119205298,-68.2119205298,50.9933774834,-27.9470198675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-24.5668844078,-14.1153081511,49.5029821074,90.8548707753,-4.57256461233,0.0,0.0,0.0,0.0,0.0,19.2546583851,4.34782608696,-100.0,-100.0,25.2173913043
p025,0.0,0.0,0.0,0.0,0.0,-5.88235294118,5.88235294118,41.1764705882,76.4705882353,-15.2941176471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.71021860702,15.3024911032,-23.1316725979,2.49110320285,15.0177935943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p026,0.0,0.0,0.0,0.0,0.0,-23.0662020906,-12.1951219512,102.926829268,128.292682927,-40.6829268293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13.9784946237,18.7096774194,-1.93548387097,70.3225806452,3.91397849462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p027,0.0,0.0,0.0,0.0,0.0,-100.0,140.0,-100.0,380.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.58118187034,-18.0722891566,-37.3493975904,179.518072289,-12.6104417671,0.0,0.0,0.0,0.0,0.0,6.37915543576,-100.0,-64.7798742138,-9.43396226415,32.8301886792
p028,0.0,0.0,0.0,0.0,0.0,23.0769230769,84.6153846154,84.6153846154,-7.69230769231,-50.7692307692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.57142857143,10.4761904762,-41.5873015873,124.761904762,-8.57142857143,0.0,0.0,0.0,0.0,0.0,52.380952381,-100.0,-100.0,-100.0,6.66666666667
p029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.3859689743,-53.322528363,1.13452188006,30.3079416532,7.35818476499,0.0,0.0,0.0,0.0,0.0,66.2337662338,-100.0,-100.0,-100.0,-12.7272727273
p030,0.0,0.0,0.0,0.0,0.0,14.2857142857,-100.0,-100.0,500.0,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-26.9588916648,29.7297297297,47.5357710652,-48.4896661367,29.2209856916,0.0,0.0,0.0,0.0,0.0,-21.9512195122,-12.1951219512,-41.4634146341,-100.0,87.3170731707
p031,0.0,0.0,0.0,0.0,0.0,23.0769230769,-26.1538461538,2.5641025641,23.0769230769,-39.2820512821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14.0771637122,-64.9635036496,2.1897810219,16.0583941606,18.5401459854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p032,0.0,0.0,0.0,0.0,0.0,82.8571428571,-100.0,-100.0,140.0,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13.8293016887,34.1853035144,39.2971246006,-17.571884984,5.81469648562,0.0,0.0,0.0,0.0,0.0,-42.8571428571,-100.0,100.0,-100.0,60.0
p033,0.0,0.0,0.0,0.0,0.0,30.612244898,-100.0,-100.0,71.4285714286,-8.57142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.32212885154,-71.7647058824,-46.6666666667,43.5294117647,5.41176470588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p034,0.0,0.0,0.0,0.0,0.0,-100.0,-100.0,-100.0,500.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-19.0680564071,21.0300429185,-45.0643776824,87.982832618,18.1115879828,0.0,0.0,0.0,0.0,0.0,-100.0,300.0,-100.0,-100.0,113.333333333
p035,0.0,0.0,0.0,0.0,0.0,6.66666666667,60.0,-46.6666666667,-100.0,6.66666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.2266009852,-51.724137931,-31.0344827586,24.1379310345,-8.04597701149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p036,0.0,0.0,0.0,0.0,0.0,-26.5306122449,-100.0,71.4285714286,28.5714285714,14.2857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.925170068,-14.2857142857,14.2857142857,38.0952380952,8.57142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p037,0.0,0.0,0.0,0.0,0.0,4.2328042328,30.5555555556,22.2222222222,100.0,-44.4444444444,0.0,0.0,0.0,0.0,0.0,21.6855087359,-65.4676258993,-25.1798561151,-22.3021582734,-10.2158273381,12.0226308345,-76.2376237624,2.9702970297,60.396039604,-22.3762376238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p038,0.0,0.0,0.0,0.0,0.0,30.612244898,-100.0,-100.0,71.4285714286,-8.57142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.93819655522,53.1914893617,10.6382978723,74.4680851064,-25.1063829787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p039,0.0,0.0,0.0,0.0,0.0,3.081232493,5.88235294118,-52.9411764706,52.9411764706,6.66666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.57142857143,-12.2580645161,-44.9462365591,29.0322580645,25.247311828,0.0,0.0,0.0,0.0,0.0,36.460554371,-100.0,-100.0,-100.0,28.9552238806
p040,0.0,0.0,0.0,0.0,0.0,-8.57142857143,-100.0,60.0,380.0,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.2506541078,27.4725274725,-7.69230769231,27.4725274725,3.73626373626,0.0,0.0,0.0,0.0,0.0,-36.9458128079,244.827586207,129.885057471,-100.0,39.7701149425
p041,0.0,0.0,0.0,0.0,0.0,5.32212885154,-76.4705882353,-21.568627451,64.7058823529,-5.88235294118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.9751552795,-40.0,6.08695652174,82.6086956522,12.0,0.0,0.0,0.0,0.0,0.0,71.4285714286,-100.0,-100.0,-100.0,-20.0
p042,0.0,0.0,0.0,0.0,0.0,1.5873015873,33.3333333333,-11.1111111111,33.3333333333,-28.8888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.32989690722,-3.50515463918,-1.03092783505,-10.9278350515,-3.01030927835,-34.693877551,71.4285714286,14.2857142857,71.4285714286,-8.57142857143,-24.5492371706,-100.0,-14.5631067961,28.1553398058,46.0194174757
p043,0.0,0.0,0.0,0.0,0.0,-23.8095238095,300.0,166.666666667,300.0,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16.339869281,-55.5555555556,20.2614379085,49.0196078431,9.45533769063,0.0,0.0,0.0,0.0,0.0,52.380952381,-100.0,-100.0,100.0,-46.6666666667
p044,0.0,0.0,0.0,0.0,0.0,-2.04081632653,-100.0,-100.0,242.857142857,-8.57142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.76271186441,-28.813559322,-7.79661016949,68.813559322,-14.3050847458,52.380952381,-100.0,-100.0,-100.0,6.66666666667,0.0,0.0,0.0,0.0,0.0
p045,0.0,0.0,0.0,0.0,0.0,-22.1164021164,91.1111111111,39.2592592593,51.1111111111,-5.18518518519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.20326936745,-58.2089552239,-44.2786069652,13.4328358209,22.5870646766,-8.57142857143,20.0,60.0,-100.0,-4.0,-23.8095238095,-100.0,33.3333333333,-100.0,60.0
p046,0.0,0.0,0.0,0.0,0.0,6.18672665917,13.3858267717,-5.51181102362,202.362204724,-47.0866141732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-34.4761904762,-12.0,49.3333333333,-48.0,46.1333333333,0.0,0.0,0.0,0.0,0.0,-47.2527472527,-7.69230769231,84.6153846154,84.6153846154,23.0769230769
p047,0.0,0.0,0.0,0.0,0.0,37.1428571429,-100.0,60.0,140.0,-100.0,14.2857142857,100.0,33.3333333333,-100.0,6.66666666667,0.0,0.0,0.0,0.0,0.0,-5.38033395176,73.3766233766,36.3636363636,-22.0779220779,-8.05194805195,0.0,0.0,0.0,0.0,0.0,-100.0,-100.0,-100.0,500.0,60.0
p048,0.0,0.0,0.0,0.0,0.0,-71.7231222386,11.3402061856,48.4536082474,104.12371134,51.7525773196,0.0,0.0,0.0,0.0,0.0,22.6480836237,-100.0,-34.9593495935,-100.0,22.2764227642,-20.0,48.4210526316,-5.26315789474,95.7894736842,-3.15789473684,0.0,0.0,0.0,0.0,0.0,-67.3469387755,71.4285714286,14.2857142857,-100.0,82.8571428571
p049,0.0,0.0,0.0,0.0,0.0,-11.3006396588,7.46268656716,-28.3582089552,43.2835820896,24.1791044776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.12956810631,11.6279069767,7.90697674419,92.5581395349,-24.0930232558,0.0,0.0,0.0,0.0,0.0,-16.5532879819,33.3333333333,-42.8571428571,-100.0,44.7619047619
p050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-19.9517781796,105.063291139,8.01687763713,74.6835443038,-9.5358649789,0.0,0.0,0.0,0.0,0.0,6.66666666667,-100.0,-46.6666666667,60.0,6.66666666667
p051,0.0,0.0,0.0,0.0,0.0,-23.8095238095,-100.0,33.3333333333,300.0,-46.6666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13.8567138567,8.10810810811,4.5045045045,54.954954955,-0.0600600600601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p052,0.0,0.0,0.0,0.0,0.0,2.25563909774,184.210526316,173.684210526,-36.8421052632,-66.3157894737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.873671782763,38.8429752066,-3.47107438017,20.9917355372,-15.9008264463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p053,0.0,0.0,0.0,0.0,0.0,-9.95670995671,45.4545454545,-3.0303030303,81.8181818182,-12.7272727273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.21541950113,-76.1904761905,-14.2857142857,0.0,11.746031746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
