,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
f,ang,-0.107068428454,-0.0909444235543,0.0213464800958,-0.140836969645,-0.231096500442,0.120187722762,-0.101581728879,-0.155755278974,-0.212337607453,-0.0979646120612,0.484373772074,0.0352918918837,-0.0899190886824,0.0654545328945,-0.239384427036,-0.122578390025,-0.11869282361,0.146497921735,0.0446700884642,0.3440480486,0.145882625635,0.255147239017,0.364067498318,-0.0614385312214,-0.129266567362,-0.147018941832,0.547444047514,-0.0204455414202,0.0315190252793,0.9690533862,0.477879378123,-0.226840047063,-0.233783522169,-0.146767845675,0.651934453698,-0.00123391958792,-0.250892158246,-0.0344754378498,-0.133707702272,-0.271287016825,-0.215705048887,-0.245043951326,-0.127644311812,-0.0949707986038,-0.183467796259,-0.170724938953,-0.187689464174,-0.114234291942
f,dis,-0.197693764763,0.0614808677858,-0.234455314194,-0.156955446277,-0.1166813084,-0.229027198957,-0.159948985353,0.00410261108987,-0.161257016935,-0.209211606954,-0.0777357430149,-0.00460160442166,0.0102961149188,0.0811075519917,0.119742464714,-0.017898123549,-0.184314561509,-0.0368222472114,-0.108139263482,-0.0437165604041,0.0151891983435,0.921797336804,1.06007095656,-0.102793602332,-0.215771157567,-0.190615987351,-0.372720697329,-0.0406954497804,-0.193600019565,1.09881888076,1.43680497885,0.00775828079236,-0.214568829179,-0.22274721016,-0.209609184983,-0.00511318383691,-0.151673146553,0.0396131103897,-0.103776503723,0.0846127074985,0.00353057286484,-0.158570493022,-0.139649834952,-0.259680739967,-0.120910958541,-0.063685043725,-0.158616135964,-0.0816687094079
f,fea,0.0777528530343,-0.0664795444027,-0.141368147781,-0.121815328815,-0.0129267778905,-0.287902378746,-0.14704556288,-0.0170155421973,-0.0615677639488,0.102944281551,0.736890099033,-0.114484293075,-0.240084249091,0.0355409428603,-0.134806595367,-0.0496660047731,-0.0324273903216,-0.0497149383183,-0.0829389706754,-0.0581809871695,-0.169369372959,0.198204973085,0.376390215112,-0.23889829039,-0.0118441782608,0.122511207934,0.0262012215946,-0.0991653599348,-0.00722983207204,0.956242959453,0.122988970365,-0.0723956773645,-0.224577951218,0.0579371990191,0.839029071008,0.0444649895891,-0.080407624171,-0.194371235188,-0.158882946447,-0.196068651971,0.0831617343914,-0.133402738812,-0.140679970048,-0.0283463011641,-0.066559529841,-0.174366483145,0.0490006573393,-0.214270756931
f,hap,-0.083150854148,-0.17627333205,-0.0723542114319,-0.0147522152359,-0.192790038165,-0.121762695376,-0.207402983315,-0.184611771934,-0.123583241028,-0.1181149769,0.0427745947734,-0.155732015078,0.0794023765272,0.812468965237,0.00995406172252,-0.149744111207,-0.148303551318,-0.10914000407,-0.00234459746198,-0.0996675428235,-0.000368029190181,0.759899708494,0.242644094539,-0.19733614493,-0.270702263569,-0.0316051619432,-0.0836099617508,-0.197457435294,-0.0127849082191,0.837378836323,0.064815587794,-0.261092564032,0.00106440926237,-0.101331969385,0.171325986248,0.0877206049473,0.196048900471,0.715466181399,-0.149423067401,-0.22116025441,0.0648478146243,0.0335261560088,0.00288507241657,-0.177390783373,-0.0765757590579,0.0168467364673,-0.20124192908,-0.197261714079
f,ntr,-0.123785938879,-0.0187366494435,0.109495151921,-0.0839567178716,-0.0309390184433,-0.00895657813084,-0.170157335135,-0.192194246428,-0.176686469131,0.000313961335914,0.661144895158,-0.19952961227,-0.00443981344993,0.459791915671,-0.0328452865384,-0.0719830547872,-0.134916561175,0.030365284593,0.0637057271568,-0.197195024755,-0.0526428673355,0.393008503516,0.604447396152,-0.353003161623,-0.125066056169,-0.119348398588,-0.15148679753,0.07926743423,0.216064894055,0.114920836418,0.26560261094,-0.147549274032,-0.00542557661896,-0.0227560685926,0.952201769906,-0.034270457024,0.0634691036912,-0.343780471019,-0.107934155561,-0.172749542591,-0.253165354972,0.0419023855436,0.0184390419915,-0.266517168906,-0.219938039491,-0.0916229939721,-0.0823217327901,-0.078240489024
f,sad,0.184881645889,-0.12767986161,-0.0609835123293,-0.158954529641,-0.057356976859,-0.021647198932,-0.145245025053,-0.0841237992511,-0.0597539997162,-0.122693266407,0.0522223567238,0.0531288628147,-0.223740782045,0.0746743085194,0.0876488328407,-0.172450684831,-0.0185501996403,0.107360074155,0.0706149729052,-0.133232984798,-0.104635465056,0.109380005669,-0.144393571595,0.0539509390812,0.00442539432652,0.706574530964,0.514547496209,-0.0476414240647,0.0511091068194,0.252732583399,-0.252668395636,-0.0778624304048,-0.00696748481568,0.136566029908,0.712770487743,0.0598416676739,-0.249182902728,-0.163924774118,-0.0862905384931,-0.00451196041847,-0.093884600114,0.0529817885087,0.0513605401854,-0.106941335761,-0.0490648761786,-0.166602599833,-0.151521749507,-0.244264694501
f,sup,-0.200397488138,0.0615194430631,-0.204223342441,-0.190440609098,0.00327662614443,-0.248203029214,-0.105989478749,-0.133348722205,0.0192980935806,-0.0284009137754,0.351474694028,0.0108114668028,-0.186708828914,-0.105715898426,0.171614824065,-0.190556753444,-0.199699828278,-0.0490539496159,-0.122688562764,-0.269112794536,-0.0162717087826,1.02286677457,0.514905782803,-0.0615192496201,-0.159245286587,-0.191215946703,0.214639397635,-0.132690359465,-0.186214410932,0.824109927594,0.655651434566,0.157623102332,-0.111841515116,-0.206952955193,0.576101393402,-0.124684144747,-0.0472872478248,-0.124257062806,-0.100276442016,-0.103540294922,-0.165803264257,-0.186152311978,0.0231749406837,-0.140397743495,-0.0348451468922,-0.0987976115535,-0.115898100365,-0.0646368984133
m,ang,-0.147809932899,-0.090814557798,0.0798688841331,-0.0670129243412,-0.00319982724227,-0.111988606685,-0.116224132049,-0.349455547763,-0.0639990929449,-0.086908657738,1.07956173002,-0.0240759713996,-0.129015310249,0.0496917452608,-0.293144079432,-0.141947194168,-0.157273339781,-0.137861778829,0.883143004007,0.0316032854405,-0.135489072452,0.534248686212,0.233756778574,-0.115686929487,-0.0188570208995,-0.0533335322669,0.672952507063,-0.063929067707,-0.151922615135,0.365126496443,0.182591530899,-0.262724703638,-0.27245497574,-0.329752886501,0.324460443636,-0.104425729551,-0.0627202693479,-0.17117966261,-0.262166094868,-0.00462544150576,0.0526226900327,-0.114930931351,0.00707734107838,-0.0715213366339,-0.0101315647444,-0.191860974634,-0.0547812043458,-0.123480156065
m,dis,-0.183419589146,-0.0169111604786,-0.0734000731454,0.0244791513088,-0.23469671849,-0.0634761793397,-0.0840053067748,-0.191737788896,-0.0901260798703,-0.0777264797595,-0.187414883045,-0.190713590516,-0.026003398617,-0.206812970884,0.0679611975121,0.172051769854,-0.0769573768931,-0.304361602156,-0.0629749406779,-0.0597679521861,-0.104015994275,0.825244925444,0.957210114872,0.0111188479972,-0.152729191848,-0.00595929400995,-0.0764611029183,-0.127018761307,-0.0643476524986,1.03316358573,0.791416723325,-0.13215956621,-0.28582545181,-0.00919157561459,-0.0664482243352,0.00700048663576,-0.296288148812,0.0923489252176,-0.133612458862,0.257393407811,-0.340887898849,-0.162663240824,-0.127511396977,0.00425485347118,-0.253270738867,-0.0514982340841,-0.0382298917435,0.314980925545
m,fea,-0.0772307408412,-0.200512152933,-0.0748596466253,-0.140877188729,-0.0663198290233,-0.126886401542,0.0172637833105,-0.107285165628,0.00713012729713,-0.091135168938,0.777350701476,-0.0174286145248,-0.177905911984,0.0699656849064,0.113102564617,0.132540518471,-0.337639963752,0.0219035837115,0.120930195595,-0.100199678542,-0.10191620205,0.377112159352,0.251505824402,-0.255817409131,-0.10800419827,-0.208892598293,0.525016379621,-0.038400427608,-0.129689245484,0.212091278814,0.269983691252,-0.19047310215,-0.0203847828495,-0.178000159021,1.073119962,0.0182914204836,0.0403734691671,-0.233335136032,0.15078923977,-0.113870074751,-0.0902639567999,-0.290962087022,0.0293286369724,-0.157190244846,-0.138786272561,-0.107486649121,-0.226427840219,-0.0996183719479
