,ang,ang,ang,ang,ang,fea,fea,fea,fea,fea,ntr,ntr,ntr,ntr,ntr,sad,sad,sad,sad,sad,sup,sup,sup,sup,sup,hap,hap,hap,hap,hap,dis,dis,dis,dis,dis
,nan,AU2,AU1,AU20+25,AU5,nan,AU2,AU1,AU20+25,AU5,nan,AU2,AU1,AU20+25,AU5,nan,AU2,AU1,AU20+25,AU5,nan,AU2,AU1,AU20+25,AU5,nan,AU2,AU1,AU20+25,AU5,nan,AU2,AU1,AU20+25,AU5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.22580645161,-100.0,-20.0,6.66666666667,6.66666666667,-23.4314073024,251.648351648,71.4285714286,-23.8095238095,93.4065934066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p019,0.0,0.0,0.0,0.0,0.0,-22.1481347991,87.7094972067,20.6703910615,16.2011173184,105.586592179,0.0,0.0,0.0,0.0,0.0,13.7590520079,-67.3469387755,-100.0,25.1700680272,-83.6734693878,3.02260604521,-62.2047244094,-5.51181102362,-30.7086614173,101.57480315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p020,0.0,0.0,0.0,0.0,0.0,-34.2584249414,123.463687151,134.636871508,43.0167597765,7.2625698324,0.0,0.0,0.0,0.0,0.0,12.6099706745,45.4545454545,9.09090909091,-3.0303030303,-100.0,-17.840684661,182.993197279,87.7551020408,-34.693877551,172.108843537,-17.0506912442,128.571428571,-14.2857142857,-4.7619047619,128.571428571,0.0,0.0,0.0,0.0,0.0
p021,-2.77569392348,-25.5813953488,95.3488372093,-0.77519379845,-62.7906976744,-7.09677419355,-100.0,140.0,-100.0,220.0,3.22580645161,6.66666666667,60.0,6.66666666667,-100.0,0.0,0.0,0.0,0.0,0.0,-28.7250384025,-68.253968254,-33.3333333333,52.380952381,217.46031746,3.22580645161,-100.0,-100.0,-100.0,433.333333333,0.0,0.0,0.0,0.0,0.0
p022,-16.6253101737,23.0769230769,84.6153846154,23.0769230769,23.0769230769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16.4874551971,44.4444444444,113.888888889,-20.987654321,51.8518518519,0.0,0.0,0.0,0.0,0.0,3.22580645161,77.7777777778,33.3333333333,18.5185185185,-100.0
p023,0.0,0.0,0.0,0.0,0.0,-0.0254000508001,-87.4015748031,22.8346456693,-24.4094488189,63.7795275591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.22580645161,-100.0,-100.0,-11.1111111111,166.666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p024,0.0,0.0,0.0,0.0,0.0,-7.40800778084,-43.7185929648,-3.5175879397,12.5628140704,76.8844221106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p025,0.0,0.0,0.0,0.0,0.0,-17.4760723148,-20.8791208791,12.0879120879,49.4505494505,49.4505494505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.46627565982,-100.0,9.09090909091,-3.0303030303,45.4545454545,0.0,0.0,0.0,0.0,0.0,-61.2903225806,166.666666667,100.0,77.7777777778,166.666666667
p026,0.0,0.0,0.0,0.0,0.0,-5.52214324768,-32.2033898305,-49.1525423729,-18.6440677966,211.86440678,0.0,0.0,0.0,0.0,0.0,-13.9784946237,77.7777777778,33.3333333333,77.7777777778,-100.0,-31.8181818182,-22.7272727273,46.5909090909,46.9696969697,145.454545455,-22.5806451613,-100.0,-100.0,166.666666667,-100.0,0.0,0.0,0.0,0.0,0.0
p027,-22.5806451613,-100.0,200.0,33.3333333333,-100.0,-39.2405063291,62.0253164557,173.417721519,41.7721518987,82.2784810127,8.26121164437,17.0731707317,-12.1951219512,-21.9512195122,30.081300813,0.0,0.0,0.0,0.0,0.0,-26.3501268576,73.7827715356,-68.5393258427,5.86766541823,247.565543071,4.34782608696,39.1304347826,4.34782608696,27.5362318841,-100.0,-17.6806859943,62.0253164557,143.037974684,35.0210970464,-79.746835443
