,ang,ang,fea,fea,ntr,ntr,sad,sad,sup,sup,hap,hap,dis,dis
,nan,AU25,nan,AU25,nan,AU25,nan,AU25,nan,AU25,nan,AU25,nan,AU25
,,,,,,,,,,,,,,
p045,-4.7619047619,33.3333333333,0.0,0.0,-9.05432595573,63.3802816901,0.0,0.0,0.0,0.0,1.5873015873,-11.1111111111,0.0,0.0
p046,0.0,0.0,0.0,0.0,-16.0940325497,112.658227848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p047,0.0,0.0,0.0,0.0,-4.93574222388,34.5501955671,0.0,0.0,14.2857142857,-100.0,0.0,0.0,0.0,0.0
p048,0.0,0.0,-4.7619047619,33.3333333333,0.513440048324,-3.59408033827,-4.03489640131,28.2442748092,0.0,0.0,0.0,0.0,0.0,0.0
p049,0.0,0.0,0.0,0.0,1.34770889488,-9.43396226415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p050,0.0,0.0,0.0,0.0,-5.20231213873,36.4161849711,0.0,0.0,2.85714285714,-20.0,0.0,0.0,0.0,0.0
p051,0.0,0.0,0.0,0.0,-7.39695087521,51.7786561265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p052,0.0,0.0,-4.8683160415,34.0782122905,6.02409638554,-42.1686746988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p053,0.0,0.0,0.0,0.0,-0.621118012422,4.34782608696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p054,0.0,0.0,1.5873015873,-11.1111111111,0.699300699301,-4.8951048951,-29.2517006803,204.761904762,-2.04081632653,14.2857142857,0.0,0.0,0.0,0.0
p055,0.0,0.0,0.0,0.0,-14.9546106068,104.682274247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p056,0.0,0.0,-5.22648083624,36.5853658537,14.2857142857,-100.0,2.20673635308,-15.4471544715,0.0,0.0,0.0,0.0,0.0,0.0
p057,0.0,0.0,0.0,0.0,-3.0888030888,21.6216216216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p058,0.0,0.0,-20.0,140.0,-4.34782608696,30.4347826087,1.80072028812,-12.6050420168,0.0,0.0,0.0,0.0,0.0,0.0
p059,0.0,0.0,-8.69912210694,60.8938547486,2.85714285714,-20.0,-12.0879120879,84.6153846154,0.0,0.0,0.0,0.0,0.0,0.0
p060,0.0,0.0,0.0,0.0,0.138696255201,-0.970873786408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p061,0.0,0.0,0.0,0.0,-14.2056822729,99.4397759104,0.0,0.0,-8.57142857143,60.0,0.0,0.0,0.0,0.0
p062,0.0,0.0,0.0,0.0,-7.32705689726,51.2893982808,0.0,0.0,5.49450549451,-38.4615384615,-23.8095238095,166.666666667,0.0,0.0
p063,0.0,0.0,0.0,0.0,0.884955752212,-6.19469026549,-5.5900621118,39.1304347826,0.0,0.0,0.0,0.0,6.66666666667,-46.6666666667
p064,0.0,0.0,0.0,0.0,-7.7106993425,53.9748953975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p065,0.0,0.0,-6.58385093168,46.0869565217,-5.06617982656,35.4632587859,-6.97674418605,48.8372093023,0.0,0.0,0.0,0.0,0.0,0.0
p066,-2.04081632653,14.2857142857,0.0,0.0,-12.1804511278,85.2631578947,-5.16717325228,36.170212766,0.0,0.0,0.0,0.0,0.0,0.0
p068,0.0,0.0,-8.57142857143,60.0,-1.23456790123,8.64197530864,-1.02040816327,7.14285714286,-17.7142857143,124.0,0.0,0.0,0.0,0.0
p069,0.0,0.0,-10.6639839034,74.6478873239,-11.1919927207,78.3439490446,-6.49350649351,45.4545454545,-11.6446578631,81.512605042,0.0,0.0,0.0,0.0
p070,0.0,0.0,0.0,0.0,2.38095238095,-16.6666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p071,0.0,0.0,0.0,0.0,-1.73564753004,12.1495327103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p072,0.0,0.0,-8.57142857143,60.0,2.55102040816,-17.8571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p073,0.0,0.0,0.0,0.0,-12.5248508946,87.6739562624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p074,0.0,0.0,0.0,0.0,-0.784929356358,5.49450549451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p075,0.0,0.0,0.0,0.0,-1.38637733574,9.70464135021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p076,0.0,0.0,0.0,0.0,2.14450676344,-15.0115473441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
